iso3c,pais,resolucion,"Consecuencias humanitarias
de la agresión contra Ucrania","Asentamientos israelíes en el
Territorio Palestino Ocupado","Fin del embargo de EE. UU.
contra Cuba",El Golán sirio ocupado
MWI,Malawi,cuba,NA,NA,Sí,NA
MYS,Malaysia,cuba,NA,NA,Sí,NA
MDV,Maldives,cuba,NA,NA,Sí,NA
MLI,Mali,cuba,NA,NA,Sí,NA
MLT,Malta,cuba,NA,NA,Sí,NA
MHL,Marshall Islands,cuba,NA,NA,Sí,NA
MRT,Mauritania,cuba,NA,NA,Sí,NA
MUS,Mauritius,cuba,NA,NA,Sí,NA
MEX,Mexico,cuba,NA,NA,Sí,NA
FSM,"Micronesia, Fed. Sts.",cuba,NA,NA,Sí,NA
MDA,Moldova,cuba,NA,NA,Abstención,NA
MCO,Monaco,cuba,NA,NA,Sí,NA
MNG,Mongolia,cuba,NA,NA,Sí,NA
MNE,Montenegro,cuba,NA,NA,Sí,NA
MAR,Morocco,cuba,NA,NA,Sí,NA
MOZ,Mozambique,cuba,NA,NA,Sí,NA
MMR,Myanmar,cuba,NA,NA,Sí,NA
NAM,Namibia,cuba,NA,NA,Sí,NA
NRU,Naoero,cuba,NA,NA,Sí,NA
NPL,Nepal,cuba,NA,NA,Sí,NA
NLD,Netherlands,cuba,NA,NA,Sí,NA
NZL,New Zealand,cuba,NA,NA,Sí,NA
NIC,Nicaragua,cuba,NA,NA,Sí,NA
NER,Niger,cuba,NA,NA,Sí,NA
NGA,Nigeria,cuba,NA,NA,Sí,NA
MKD,North Macedonia,cuba,NA,NA,Sí,NA
NOR,Norway,cuba,NA,NA,Sí,NA
OMN,Oman,cuba,NA,NA,Sí,NA
PAK,Pakistan,cuba,NA,NA,Sí,NA
PLW,Palau,cuba,NA,NA,Sí,NA
PAN,Panama,cuba,NA,NA,Sí,NA
PNG,Papua New Guinea,cuba,NA,NA,Sí,NA
PRY,Paraguay,cuba,NA,NA,Sí,NA
PER,Peru,cuba,NA,NA,Sí,NA
PHL,Philippines,cuba,NA,NA,Sí,NA
POL,Poland,cuba,NA,NA,Sí,NA
PRT,Portugal,cuba,NA,NA,Sí,NA
QAT,Qatar,cuba,NA,NA,Sí,NA
KOR,"Korea, Rep.",cuba,NA,NA,Sí,NA
ROU,Romania,cuba,NA,NA,Sí,NA
RUS,Russian Federation,cuba,NA,NA,Sí,NA
RWA,Rwanda,cuba,NA,NA,Sí,NA
KNA,St. Kitts and Nevis,cuba,NA,NA,Sí,NA
LCA,St. Lucia,cuba,NA,NA,Sí,NA
VCT,St. Vincent and the Grenadines,cuba,NA,NA,Sí,NA
WSM,Samoa,cuba,NA,NA,Sí,NA
SMR,San Marino,cuba,NA,NA,Sí,NA
STP,Sao Tome and Principe,cuba,NA,NA,Sí,NA
SAU,Saudi Arabia,cuba,NA,NA,Sí,NA
SEN,Senegal,cuba,NA,NA,Sí,NA
SRB,Serbia,cuba,NA,NA,Sí,NA
SYC,Seychelles,cuba,NA,NA,Sí,NA
SLE,Sierra Leone,cuba,NA,NA,Sí,NA
SGP,Singapore,cuba,NA,NA,Sí,NA
SVK,Slovak Republic,cuba,NA,NA,Sí,NA
SVN,Slovenia,cuba,NA,NA,Sí,NA
SLB,Solomon Islands,cuba,NA,NA,Sí,NA
SOM,"Somalia, Fed. Rep.",cuba,NA,NA,Sí,NA
ZAF,South Africa,cuba,NA,NA,Sí,NA
SSD,South Sudan,cuba,NA,NA,Sí,NA
ESP,Spain,cuba,NA,NA,Sí,NA
LKA,Sri Lanka,cuba,NA,NA,Sí,NA
SDN,Sudan,cuba,NA,NA,Sí,NA
SUR,Suriname,cuba,NA,NA,Sí,NA
SWE,Sweden,cuba,NA,NA,Sí,NA
CHE,Switzerland,cuba,NA,NA,Sí,NA
SYR,Syrian Arab Republic,cuba,NA,NA,Sí,NA
TJK,Tajikistan,cuba,NA,NA,Sí,NA
TZA,Tanzania,cuba,NA,NA,Sí,NA
THA,Thailand,cuba,NA,NA,Sí,NA
TLS,Timor-Leste,cuba,NA,NA,Sí,NA
TGO,Togo,cuba,NA,NA,Sí,NA
TON,Tonga,cuba,NA,NA,Sí,NA
TTO,Trinidad and Tobago,cuba,NA,NA,Sí,NA
TUN,Tunisia,cuba,NA,NA,Sí,NA
TUR,Turkiye,cuba,NA,NA,Sí,NA
TKM,Turkmenistan,cuba,NA,NA,Sí,NA
TUV,Tuvalu,cuba,NA,NA,Sí,NA
UGA,Uganda,cuba,NA,NA,Sí,NA
UKR,Ukraine,cuba,NA,NA,Sí,NA
ARE,United Arab Emirates,cuba,NA,NA,Sí,NA
GBR,United Kingdom,cuba,NA,NA,Sí,NA
USA,United States,cuba,NA,NA,No,NA
URY,Uruguay,cuba,NA,NA,Sí,NA
UZB,Uzbekistan,cuba,NA,NA,Sí,NA
VUT,Vanuatu,cuba,NA,NA,Sí,NA
VEN,"Venezuela, RB",cuba,NA,NA,Sí,NA
VNM,Viet Nam,cuba,NA,NA,Sí,NA
YEM,"Yemen, Rep.",cuba,NA,NA,Sí,NA
ZMB,Zambia,cuba,NA,NA,Sí,NA
ZWE,Zimbabwe,cuba,NA,NA,Sí,NA
AFG,Afghanistan,golan,NA,NA,NA,Sí
ALB,Albania,golan,NA,NA,NA,Sí
DZA,Algeria,golan,NA,NA,NA,Sí
AND,Andorra,golan,NA,NA,NA,Sí
AGO,Angola,golan,NA,NA,NA,Sí
ATG,Antigua and Barbuda,golan,NA,NA,NA,Sí
ARG,Argentina,golan,NA,NA,NA,Abstención
ARM,Armenia,golan,NA,NA,NA,Sí
AUS,Australia,golan,NA,NA,NA,Abstención
AUT,Austria,golan,NA,NA,NA,Sí
AZE,Azerbaijan,golan,NA,NA,NA,Sí
BHS,"Bahamas, The",golan,NA,NA,NA,Sí
BHR,Bahrain,golan,NA,NA,NA,Sí
BGD,Bangladesh,golan,NA,NA,NA,Sí
BRB,Barbados,golan,NA,NA,NA,Sí
BLR,Belarus,golan,NA,NA,NA,Sí
BEL,Belgium,golan,NA,NA,NA,Sí
BLZ,Belize,golan,NA,NA,NA,Sí
BEN,Benin,golan,NA,NA,NA,Sí
BTN,Bhutan,golan,NA,NA,NA,Sí
BOL,Bolivia,golan,NA,NA,NA,Sí
BIH,Bosnia and Herzegovina,golan,NA,NA,NA,Sí
BWA,Botswana,golan,NA,NA,NA,Sí
BRA,Brazil,golan,NA,NA,NA,Sí
BRN,Brunei Darussalam,golan,NA,NA,NA,Sí
BGR,Bulgaria,golan,NA,NA,NA,Sí
BFA,Burkina Faso,golan,NA,NA,NA,Sí
BDI,Burundi,golan,NA,NA,NA,Sí
CPV,Cabo Verde,golan,NA,NA,NA,Sí
KHM,Cambodia,golan,NA,NA,NA,Sí
CMR,Cameroon,golan,NA,NA,NA,Abstención
CAN,Canada,golan,NA,NA,NA,Abstención
CAF,Central African Republic,golan,NA,NA,NA,Abstención
TCD,Chad,golan,NA,NA,NA,Sí
CHL,Chile,golan,NA,NA,NA,Sí
CHN,China,golan,NA,NA,NA,Sí
COL,Colombia,golan,NA,NA,NA,Sí
COM,Comoros,golan,NA,NA,NA,Sí
COG,"Congo, Rep.",golan,NA,NA,NA,Sí
CRI,Costa Rica,golan,NA,NA,NA,Sí
CIV,Cote d'Ivoire,golan,NA,NA,NA,Abstención
HRV,Croatia,golan,NA,NA,NA,Sí
CUB,Cuba,golan,NA,NA,NA,Sí
CYP,Cyprus,golan,NA,NA,NA,Sí
CZE,Czechia,golan,NA,NA,NA,Sí
PRK,"Korea, Dem. People's Rep.",golan,NA,NA,NA,Sí
COD,"Congo, Dem. Rep.",golan,NA,NA,NA,Sí
DNK,Denmark,golan,NA,NA,NA,Sí
DJI,Djibouti,golan,NA,NA,NA,Sí
DMA,Dominica,golan,NA,NA,NA,Sí
DOM,Dominican Republic,golan,NA,NA,NA,Sí
ECU,Ecuador,golan,NA,NA,NA,Abstención
EGY,"Egypt, Arab Rep.",golan,NA,NA,NA,Sí
SLV,El Salvador,golan,NA,NA,NA,Sí
GNQ,Equatorial Guinea,golan,NA,NA,NA,Sí
ERI,Eritrea,golan,NA,NA,NA,Sí
EST,Estonia,golan,NA,NA,NA,Sí
SWZ,Eswatini,golan,NA,NA,NA,Sí
ETH,Ethiopia,golan,NA,NA,NA,Sí
FJI,Fiji,golan,NA,NA,NA,Abstención
FIN,Finland,golan,NA,NA,NA,Sí
FRA,France,golan,NA,NA,NA,Sí
GAB,Gabon,golan,NA,NA,NA,Sí
GMB,"Gambia, The",golan,NA,NA,NA,Sí
GEO,Georgia,golan,NA,NA,NA,Abstención
DEU,Germany,golan,NA,NA,NA,Sí
GHA,Ghana,golan,NA,NA,NA,Sí
GRC,Greece,golan,NA,NA,NA,Sí
GRD,Grenada,golan,NA,NA,NA,Sí
GTM,Guatemala,golan,NA,NA,NA,Abstención
GIN,Guinea,golan,NA,NA,NA,Sí
GNB,Guinea-Bissau,golan,NA,NA,NA,Sí
GUY,Guyana,golan,NA,NA,NA,Sí
HTI,Haiti,golan,NA,NA,NA,Abstención
HND,Honduras,golan,NA,NA,NA,Sí
HUN,Hungary,golan,NA,NA,NA,Sí
ISL,Iceland,golan,NA,NA,NA,Sí
IND,India,golan,NA,NA,NA,Sí
IDN,Indonesia,golan,NA,NA,NA,Sí
IRN,"Iran, Islamic Rep.",golan,NA,NA,NA,Sí
IRQ,Iraq,golan,NA,NA,NA,Sí
IRL,Ireland,golan,NA,NA,NA,Sí
ISR,Israel,golan,NA,NA,NA,No
ITA,Italy,golan,NA,NA,NA,Sí
JAM,Jamaica,golan,NA,NA,NA,Sí
JPN,Japan,golan,NA,NA,NA,Sí
JOR,Jordan,golan,NA,NA,NA,Sí
KAZ,Kazakhstan,golan,NA,NA,NA,Sí
KEN,Kenya,golan,NA,NA,NA,Sí
KIR,Kiribati,golan,NA,NA,NA,Abstención
KWT,Kuwait,golan,NA,NA,NA,Sí
KGZ,Kyrgyz Republic,golan,NA,NA,NA,Sí
LAO,Lao PDR,golan,NA,NA,NA,Sí
LVA,Latvia,golan,NA,NA,NA,Sí
LBN,Lebanon,golan,NA,NA,NA,Sí
LSO,Lesotho,golan,NA,NA,NA,Sí
LBR,Liberia,golan,NA,NA,NA,Abstención
LBY,Libya,golan,NA,NA,NA,Sí
LIE,Liechtenstein,golan,NA,NA,NA,Sí
LTU,Lithuania,golan,NA,NA,NA,Sí
LUX,Luxembourg,golan,NA,NA,NA,Sí
MDG,Madagascar,golan,NA,NA,NA,Abstención
MWI,Malawi,golan,NA,NA,NA,Abstención
MYS,Malaysia,golan,NA,NA,NA,Sí
MDV,Maldives,golan,NA,NA,NA,Sí
MLI,Mali,golan,NA,NA,NA,Sí
MLT,Malta,golan,NA,NA,NA,Sí
MHL,Marshall Islands,golan,NA,NA,NA,Sí
MRT,Mauritania,golan,NA,NA,NA,Sí
MUS,Mauritius,golan,NA,NA,NA,Sí
MEX,Mexico,golan,NA,NA,NA,Sí
FSM,"Micronesia, Fed. Sts.",golan,NA,NA,NA,Abstención
MDA,Moldova,golan,NA,NA,NA,Sí
MCO,Monaco,golan,NA,NA,NA,Sí
MNG,Mongolia,golan,NA,NA,NA,Sí
MNE,Montenegro,golan,NA,NA,NA,Sí
MAR,Morocco,golan,NA,NA,NA,Sí
MOZ,Mozambique,golan,NA,NA,NA,Sí
MMR,Myanmar,golan,NA,NA,NA,Sí
NAM,Namibia,golan,NA,NA,NA,Sí
NRU,Naoero,golan,NA,NA,NA,Abstención
NPL,Nepal,golan,NA,NA,NA,Sí
NLD,Netherlands,golan,NA,NA,NA,Sí
NZL,New Zealand,golan,NA,NA,NA,Sí
NIC,Nicaragua,golan,NA,NA,NA,Sí
NER,Niger,golan,NA,NA,NA,Sí
NGA,Nigeria,golan,NA,NA,NA,Sí
MKD,North Macedonia,golan,NA,NA,NA,Sí
NOR,Norway,golan,NA,NA,NA,Sí
OMN,Oman,golan,NA,NA,NA,Sí
PAK,Pakistan,golan,NA,NA,NA,Sí
PLW,Palau,golan,NA,NA,NA,Abstención
PAN,Panama,golan,NA,NA,NA,Abstención
PNG,Papua New Guinea,golan,NA,NA,NA,No
PRY,Paraguay,golan,NA,NA,NA,Abstención
PER,Peru,golan,NA,NA,NA,Sí
PHL,Philippines,golan,NA,NA,NA,Sí
POL,Poland,golan,NA,NA,NA,Sí
PRT,Portugal,golan,NA,NA,NA,Sí
QAT,Qatar,golan,NA,NA,NA,Sí
KOR,"Korea, Rep.",golan,NA,NA,NA,Sí
ROU,Romania,golan,NA,NA,NA,Sí
RUS,Russian Federation,golan,NA,NA,NA,Sí
RWA,Rwanda,golan,NA,NA,NA,Abstención
KNA,St. Kitts and Nevis,golan,NA,NA,NA,Sí
LCA,St. Lucia,golan,NA,NA,NA,Sí
VCT,St. Vincent and the Grenadines,golan,NA,NA,NA,Sí
WSM,Samoa,golan,NA,NA,NA,Sí
SMR,San Marino,golan,NA,NA,NA,Sí
STP,Sao Tome and Principe,golan,NA,NA,NA,Sí
SAU,Saudi Arabia,golan,NA,NA,NA,Sí
SEN,Senegal,golan,NA,NA,NA,Sí
SRB,Serbia,golan,NA,NA,NA,Sí
SYC,Seychelles,golan,NA,NA,NA,Sí
SLE,Sierra Leone,golan,NA,NA,NA,Sí
SGP,Singapore,golan,NA,NA,NA,Sí
SVK,Slovak Republic,golan,NA,NA,NA,Sí
SVN,Slovenia,golan,NA,NA,NA,Sí
SLB,Solomon Islands,golan,NA,NA,NA,Sí
SOM,"Somalia, Fed. Rep.",golan,NA,NA,NA,Sí
ZAF,South Africa,golan,NA,NA,NA,Sí
SSD,South Sudan,golan,NA,NA,NA,Sí
ESP,Spain,golan,NA,NA,NA,Sí
LKA,Sri Lanka,golan,NA,NA,NA,Sí
SDN,Sudan,golan,NA,NA,NA,Sí
SUR,Suriname,golan,NA,NA,NA,Sí
SWE,Sweden,golan,NA,NA,NA,Sí
CHE,Switzerland,golan,NA,NA,NA,Sí
SYR,Syrian Arab Republic,golan,NA,NA,NA,Sí
TJK,Tajikistan,golan,NA,NA,NA,Sí
TZA,Tanzania,golan,NA,NA,NA,Sí
THA,Thailand,golan,NA,NA,NA,Sí
TLS,Timor-Leste,golan,NA,NA,NA,Sí
TGO,Togo,golan,NA,NA,NA,Abstención
TON,Tonga,golan,NA,NA,NA,No
TTO,Trinidad and Tobago,golan,NA,NA,NA,Sí
TUN,Tunisia,golan,NA,NA,NA,Sí
TUR,Turkiye,golan,NA,NA,NA,Sí
TKM,Turkmenistan,golan,NA,NA,NA,Sí
TUV,Tuvalu,golan,NA,NA,NA,Abstención
UGA,Uganda,golan,NA,NA,NA,Sí
UKR,Ukraine,golan,NA,NA,NA,Sí
ARE,United Arab Emirates,golan,NA,NA,NA,Sí
GBR,United Kingdom,golan,NA,NA,NA,Sí
USA,United States,golan,NA,NA,NA,No
URY,Uruguay,golan,NA,NA,NA,Abstención
UZB,Uzbekistan,golan,NA,NA,NA,Sí
VUT,Vanuatu,golan,NA,NA,NA,Abstención
VEN,"Venezuela, RB",golan,NA,NA,NA,Sí
VNM,Viet Nam,golan,NA,NA,NA,Sí
YEM,"Yemen, Rep.",golan,NA,NA,NA,Sí
ZMB,Zambia,golan,NA,NA,NA,Sí
ZWE,Zimbabwe,golan,NA,NA,NA,Sí
