iso_code,country,co2_acum_fosil_mt,co2_acum_total_mt,pct_calentamiento,aporte_temp_c,co2_pc_actual_t,poblacion,co2_acum_pc_t,continente,region,pais_es,vulnerabilidad,preparacion,cuadrante
QAT,Qatar,2590.88,2592.199,0.127,0.002,41.271,3048429,850.3393059179007,Asia,"Middle East, North Africa, Afghanistan & Pakistan",Catar,0.418018229695923,0.46203962552638,"Alta responsabilidad, baja vulnerabilidad"
ROU,Romania,8861.765,11851.871,0.373,0.006,3.605,19015096,623.2874659165539,Europe,Europe & Central Asia,Rumanía,0.39820979866064,0.518046733586422,"Alta responsabilidad, baja vulnerabilidad"
RUS,Russia,122808.227,227020.625,7.027,0.118,12.295,144820421,1567.6009186577355,Europe,Europe & Central Asia,Rusia,0.3098257268424,0.436549420971712,"Alta responsabilidad, baja vulnerabilidad"
RWA,Rwanda,37.316,410.777,0.026,0,0.143,14256573,28.81316568855643,Africa,Sub-Saharan Africa,Ruanda,0.609511202843651,0.421658024353681,"Baja responsabilidad, alta vulnerabilidad"
SAU,Saudi Arabia,19020.34,19206.338,0.778,0.013,20.379,33962751,565.5118456099154,Asia,"Middle East, North Africa, Afghanistan & Pakistan",Arabia Saudí,0.471292133183345,0.493668839489803,"Alta responsabilidad, alta vulnerabilidad"
SDN,Sudan,517.017,2696.176,0.261,0.004,0.353,50448960,53.44363887778856,Africa,Sub-Saharan Africa,Sudán,0.629158346222797,0.194184515480098,"Baja responsabilidad, alta vulnerabilidad"
SEN,Senegal,300.599,764.943,0.056,0.001,0.762,18501988,41.34382748491676,Africa,Sub-Saharan Africa,Senegal,0.528878387104357,0.37557165592604,"Baja responsabilidad, alta vulnerabilidad"
SGP,Singapore,2247.705,2253.547,0.078,0.001,9.245,5832387,386.3850255478589,Asia,East Asia & Pacific,Singapur,0.379490531900278,0.749471845958623,"Alta responsabilidad, baja vulnerabilidad"
SLB,Solomon Islands,11.61,208.666,0.004,0,0.36,819206,254.7173726754931,Oceania,East Asia & Pacific,Islas Salomón,0.62242457189267,0.382470751481741,"Baja responsabilidad, alta vulnerabilidad"
SLE,Sierra Leone,42.62,1332.727,0.065,0.001,0.166,8642029,154.21459474389636,Africa,Sub-Saharan Africa,Sierra Leona,0.601974331532953,0.265715553437922,"Baja responsabilidad, alta vulnerabilidad"
SLV,El Salvador,264.574,861.456,0.04,0.001,1.416,6338197,135.91499285995687,Americas,Latin America & Caribbean,El Salvador,0.45173058771027,0.327831152276493,"Baja responsabilidad, alta vulnerabilidad"
SOM,Somalia,41.932,1126.775,0.092,0.002,0.069,19009155,59.275385991644555,Africa,Sub-Saharan Africa,Somalia,0.638285337505113,0.178195973899707,"Baja responsabilidad, alta vulnerabilidad"
SRB,Serbia,2924.891,3374.983,0.127,0.002,6.238,6736217,501.02052828761305,Europe,Europe & Central Asia,Serbia,0.469822390844807,0.479200633391456,"Alta responsabilidad, alta vulnerabilidad"
SUR,Suriname,128.76,259.324,0.011,0,4.709,634438,408.7460082781927,Americas,Latin America & Caribbean,Surinam,0.441658609170938,0.37008197956357,"Alta responsabilidad, baja vulnerabilidad"
SVK,Slovakia,4028.322,4528.094,0.147,0.002,5.283,5506759,822.2793116604522,Europe,Europe & Central Asia,Eslovaquia,0.366808796798146,0.532769452113835,"Alta responsabilidad, baja vulnerabilidad"
SVN,Slovenia,911.402,1215.837,0.044,0.001,6.018,2118692,573.8620809442807,Europe,Europe & Central Asia,Eslovenia,0.344064686795972,0.607181502140734,"Alta responsabilidad, baja vulnerabilidad"
SWE,Sweden,5134.554,7555.962,0.244,0.004,3.592,10606993,712.3566499949609,Europe,Europe & Central Asia,Suecia,0.323148191850965,0.681406434070363,"Alta responsabilidad, baja vulnerabilidad"
SWZ,Eswatini,44.612,189.937,0.008,0,0.841,1242829,152.82633411354257,Africa,Sub-Saharan Africa,Esuatini,0.482046438211589,0.301038447981803,"Baja responsabilidad, alta vulnerabilidad"
SYC,Seychelles,16.113,16.113,0.001,0,5.003,130436,123.53184703609433,Africa,Sub-Saharan Africa,Seychelles,0.427958230503949,0.401503869556773,"Baja responsabilidad, baja vulnerabilidad"
SYR,Syria,2055.815,2480.463,0.103,0.002,1.288,24672758,100.53448422750306,Asia,"Middle East, North Africa, Afghanistan & Pakistan",Siria,0.520747317617057,0.280903243327103,"Baja responsabilidad, alta vulnerabilidad"
TCD,Chad,51.343,804.152,0.174,0.003,0.139,20299131,39.615094853075234,Africa,Sub-Saharan Africa,Chad,0.637829601475467,0.166137950341569,"Baja responsabilidad, alta vulnerabilidad"
TGO,Togo,76.631,697.511,0.035,0.001,0.328,8406554,82.972285671394,Africa,Sub-Saharan Africa,Togo,0.508814332883552,0.353562352122858,"Baja responsabilidad, alta vulnerabilidad"
THA,Thailand,8308.318,25176.127,0.93,0.016,3.736,71668010,351.2882107372592,Asia,East Asia & Pacific,Tailandia,0.443413767667469,0.350774699521965,"Alta responsabilidad, baja vulnerabilidad"
TJK,Tajikistan,517.798,640.888,0.04,0.001,1.014,10590930,60.51291057536968,Asia,Europe & Central Asia,Tayikistán,0.367038597338355,0.315609639016942,"Baja responsabilidad, baja vulnerabilidad"
TKM,Turkmenistan,2741.633,2923.369,0.176,0.003,10.809,7494494,390.06889591211893,Asia,Europe & Central Asia,Turkmenistán,0.447624356197373,0.235173798669,"Alta responsabilidad, alta vulnerabilidad"
TLS,East Timor,12.137,121.303,0.012,0,0.477,1400638,86.60553262156246,Asia,East Asia & Pacific,Timor-Leste,0.545449817565224,0.286198038054137,"Baja responsabilidad, alta vulnerabilidad"
TON,Tonga,4.922,7.769,0.001,0,1.464,104192,74.56426597051598,Oceania,East Asia & Pacific,Tonga,0.594873276299833,0.353345544228539,"Baja responsabilidad, alta vulnerabilidad"
TTO,Trinidad and Tobago,1710.969,1696.766,0.066,0.001,22.932,1507778,1125.3420596400797,Americas,Latin America & Caribbean,Trinidad y Tobago,0.386030305300588,0.32744199473545,"Alta responsabilidad, baja vulnerabilidad"
TUN,Tunisia,1066.189,1438.67,0.065,0.001,2.661,12277103,117.1831823843133,Africa,"Middle East, North Africa, Afghanistan & Pakistan",Túnez,0.440625999654821,0.340483234198013,"Baja responsabilidad, baja vulnerabilidad"
TUR,Turkey,12887.552,19524.531,0.702,0.012,5.865,87473800,223.20433089679423,Asia,Europe & Central Asia,Turquía,0.39576210822062,0.471959733205169,"Baja responsabilidad, baja vulnerabilidad"
TZA,Tanzania,344.851,7593.55,0.325,0.005,0.292,68560162,110.7574687469379,Africa,Sub-Saharan Africa,Tanzania,0.50548838457689,0.33630020822472,"Baja responsabilidad, alta vulnerabilidad"
UGA,Uganda,131.384,2339.345,0.146,0.002,0.127,50015091,46.77278303862328,Africa,Sub-Saharan Africa,Uganda,0.536277668889937,0.25509320486508,"Baja responsabilidad, alta vulnerabilidad"
UKR,Ukraine,31236.496,44320.211,1.359,0.023,3.764,37860221,1170.62737166801,Europe,Europe & Central Asia,Ucrania,0.384692832175473,0.455330649320028,"Alta responsabilidad, baja vulnerabilidad"
URY,Uruguay,476.757,1032.709,0.137,0.002,2.354,3386583,304.9412933331326,Americas,Latin America & Caribbean,Uruguay,0.394090646693043,0.487580642876365,"Alta responsabilidad, baja vulnerabilidad"
USA,United States,434866.562,560542,17.651,0.296,14.197,345426566,1622.7530108381993,Americas,North America,EE. UU.,0.316878152294868,0.63182182794691,"Alta responsabilidad, baja vulnerabilidad"
UZB,Uzbekistan,6750.655,7137.678,0.356,0.006,3.829,36361859,196.29573944500473,Asia,Europe & Central Asia,Uzbekistán,0.392824302560207,0.442240630672812,"Baja responsabilidad, baja vulnerabilidad"
VEN,Venezuela,7886.474,13404.176,0.597,0.01,4.085,28405544,471.88591072221675,Americas,Latin America & Caribbean,Venezuela,0.386097378830989,0.232023543075541,"Alta responsabilidad, baja vulnerabilidad"
VNM,Vietnam,5668.876,14823.627,0.684,0.011,3.673,100987685,146.7864819358915,Asia,East Asia & Pacific,Vietnam,0.498956687021145,0.416940492457566,"Baja responsabilidad, alta vulnerabilidad"
VUT,Vanuatu,5.547,90.284,0.004,0,0.601,327786,275.43580262732394,Oceania,East Asia & Pacific,Vanuatu,0.546767558936559,0.300711442122575,"Alta responsabilidad, alta vulnerabilidad"
WSM,Samoa,7.77,14.554,0.001,0,1.126,218031,66.75197563649206,Oceania,East Asia & Pacific,Samoa,0.537949032096937,0.339940198939114,"Baja responsabilidad, alta vulnerabilidad"
YEM,Yemen,708.031,744.745,0.062,0.001,0.249,40583173,18.35107866011364,Asia,"Middle East, North Africa, Afghanistan & Pakistan",Yemen,0.629403026758848,0.256055770638161,"Baja responsabilidad, alta vulnerabilidad"
ZAF,South Africa,22826.967,29695.523,0.993,0.017,6.872,64007187,463.94044781252455,Africa,Sub-Saharan Africa,Sudáfrica,0.436239815065598,0.3155681163869,"Alta responsabilidad, baja vulnerabilidad"
ZMB,Zambia,300.839,5011.35,0.201,0.003,0.565,21314962,235.1094972630024,Africa,Sub-Saharan Africa,Zambia,0.492172412803817,0.274176097568187,"Baja responsabilidad, alta vulnerabilidad"
ZWE,Zimbabwe,832.914,2934.448,0.102,0.002,0.824,16634366,176.4087672472759,Africa,Sub-Saharan Africa,Zimbabue,0.511050170650953,0.219534781281216,"Baja responsabilidad, alta vulnerabilidad"
