quintil,n_paises,pct_poblacion,pct_calentamiento
"Q1
(menos vulnerable)",36,15.533245006017168,44.50959488272921
Q2,36,27.977934991613605,28.75849861206099
Q3,36,12.871524679720707,10.358249185340144
Q4,35,34.0210729519895,12.799211489721205
"Q5
(más vulnerable)",35,9.596222370659019,3.5744458301484494
