medida,valor
"Gini del PIB pc (PPA), cada país cuenta 1",0.5106278556277735
"Gini del PIB pc (PPA), ponderado por población",0.4523736927355362
Razón p90/p10 del PIB pc (PPA),20.843776006632176
Razón PIB pc del país más rico / más pobre,130.88693077790396
