iso3c,pais,region,grupo_ingreso,alfabetismo,crec_poblacion,electricidad,esperanza_vida,fecundidad,mortalidad_5,pib_pc_ppa,pib_pc_usd,pib_usd,pob_65mas,poblacion,pobreza_3usd,pobreza_4_2usd,pobreza_8_3usd,urbana,pobreza_mpi,gini,anio_alfabetismo,anio_crec_poblacion,anio_electricidad,anio_esperanza_vida,anio_fecundidad,anio_mortalidad_5,anio_pib_pc_ppa,anio_pib_pc_usd,anio_pib_usd,anio_pob_65mas,anio_poblacion,anio_pobreza_3usd,anio_pobreza_4_2usd,anio_pobreza_8_3usd,anio_urbana,anio_pobreza_mpi,anio_gini,categoria_idh,ranking_idh,idh,idh_ajustado_des,indice_genero_gii,anios_escol_esp,anios_escol_prom,ingreso_nacional_pc,poblacion_mill,pib_mmill_usd,log_pib_pc_ppa,pobres_3usd_mill
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Medio-bajo,86.25,0.580403828948731,100,76.711,1.818,12.1,13017.6340422977,4656.63818386852,57502836548.0878,9.9376502855836,12348573,0.7,2.4,20.7,70.7029326009864,1,33.7,2023,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2021,2021,2021,2025,2023,2021,Alto,105,0.746,0.595,0.238,14.67349856,7.594920158,12011.38785,12.348573,57.5028365480878,4.114532058291691,0.08644001099999998
TUR,Turkiye,Europe & Central Asia,Medio-alto,97.2600021362305,0.419954927193433,100,77.421,1.48,9.6,37300.7485739354,18599.4420922378,1597293229287,10.5709408311479,85878556,0.2,0.4,4.1,89.494060002186,NA,43.7,2021,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2023,2023,2023,2025,NA,2023,Muy alto,51,0.853,0.708,0.227,19.8307991,8.98624366,34506.98065,85.878556,1597.293229287,4.571717547579928,0.17175711200000002
TKM,Turkmenistan,Europe & Central Asia,Medio-alto,99.9000015258789,1.64558945876185,100,70.201,2.661,39,19313.9430262025,6540.17876401136,49828621355.6516,4.80778752954433,7618847,NA,NA,NA,47.1053608253747,0.2,NA,2022,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,NA,NA,NA,2025,2019,NA,Alto,95,0.764,NA,NA,13.24057961,11.20780193,17715.58167,7.618847,49.828621355651606,4.285870945954917,NA
TUV,Tuvalu,East Asia & Pacific,Medio-alto,100,-1.6093983073263,100,67.259,3.174,19.2,5776.07849384845,6041.44908591428,57345434.7234984,7.04277286135693,9492,9,21.2,60.6,65.4480709525093,2.1,39.1,2022,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2010,2010,2010,2025,2019,2010,Medio,129,0.689,0.578,NA,12.37506862,10.76746107,7005.520781,0.009492,0.057345434723498394,3.761633086433746,8.5428e-4
UGA,Uganda,Sub-Saharan Africa,Bajo,77.0400009155273,2.70194383324801,55.3,68.487,4.165,48.7,2980.37942135501,1206.30450825002,61985829288.1496,2.22850221312123,51384894,59.8,76.3,93.6,31.9399557536617,57.2,42.7,2024,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2019,2019,2019,2025,2016,2019,Medio,157,0.582,0.4,0.524,11.56404819,6.323663082,2736.410021,51.384894,61.985829288149596,3.4742715560599935,30.728166612
UKR,Ukraine,Europe & Central Asia,Medio-alto,NA,2.91573569457478,100,74.692,0.988,7.9,16155.0732421875,5865.884765625,214233312784.397,18.9717382539904,38980376,0,0.2,11.3,69.5954924645764,NA,25.6,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2020,2020,2020,2025,NA,2020,Alto,87,0.779,0.715,NA,13.32800961,11.12273899,16933.14453,38.980376,214.23331278439701,4.208308931317189,0
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",Alto,98.8099975585938,4.68316292656212,100,83.069,1.213,4.8,69701.785835525,50273.5126243239,552324919095.872,1.79231447206064,11513149,0,0,0.6,85.9617641324017,NA,26.4,2024,2025,2024,2024,2024,2024,2024,2024,2024,2025,2025,2018,2018,2018,2025,NA,2018,Muy alto,15,0.94,0.866,0.04,15.60159016,12.98999977,71142.30475,11.513149,552.3249190958719,4.843243905337299,0
GBR,United Kingdom,Europe & Central Asia,Alto,NA,0.296898638478743,100,81.3868536585366,1.551,4.7,53993.1172607885,57601.9621201954,4002587541846.01,19.7026932546935,69487000,0.4,0.5,0.9,83.323608078271,NA,32.4,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2021,2021,2021,2025,NA,2021,Muy alto,13,0.946,0.869,0.083,17.81106949,13.48999977,54371.58634,69.487,4002.5875418460096,4.732338401930914,0.277948
USA,United States,North America,Alto,NA,0.522468081877868,100,78.890243902439,1.6265,6.5,76931.3106990408,90026.5163005744,30769700000000,18.387224828496,341784857,1.1,1.2,1.8,80.1921733027869,NA,41.8,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2024,2024,2024,2025,NA,2024,Muy alto,17,0.938,0.832,0.169,15.92300034,13.90999985,73650.03077,341.784857,30769.7,4.886103131690468,3.759633427
URY,Uruguay,Latin America & Caribbean,Alto,98.9100036621094,-0.0561194093953689,100,78.287,1.397,7.4,32741.6246877908,25215.8238152781,85347696277.6859,16.2818995428825,3384688,0.2,0.5,5.9,95.6537192104085,NA,40,2024,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2024,2024,2024,2025,NA,2024,Muy alto,48,0.862,0.747,0.218,17.4839592,10.53999996,28649.82199,3.384688,85.3476962776859,4.515100225944456,0.0067693760000000006
UZB,Uzbekistan,Europe & Central Asia,Medio-bajo,100,1.88404754637167,100,72.528,3.486,13.4,11622.8556243531,3968.2720079072,147038081129.405,6.06931428854572,37053428,2.3,4,12.4,51.0173495084299,1.7,32.7,2022,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2025,2025,2025,2025,2021,2025,Alto,107,0.74,NA,0.291,12.46086979,11.90999985,8825.730893,37.053428,147.038081129405,4.065312843160685,0.8522288439999999
VUT,Vanuatu,East Asia & Pacific,Medio-bajo,87.9599990844727,2.23013831174813,65.5,71.654,3.569,17.1,3866.99814901674,4038.73520713411,1353658840.63993,4.3788357515164,335169,19.5,36.9,81.3,22.3219888836722,27.8,32.3,2023,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2019,2019,2019,2025,2023,2019,Medio,146,0.621,0.521,0.556,11.81160992,7.183209727,3403.690193,0.335169,1.35365884063993,3.587373964193053,0.065357955
VEN,"Venezuela, RB",Latin America & Caribbean,Medio-bajo,97.1837183128414,0.39124515392802,100,72.673,2.077,24.2,NA,3494.8138870244,99661244155.6306,10.0182554931645,28516896,NA,NA,NA,89.3219112298988,NA,NA,2017,2025,2024,2024,2024,2024,NA,2025,2025,2025,2025,NA,NA,NA,2025,NA,NA,Alto,121,0.709,0.605,0.512,12.96537654,9.678385373,7157.08,28.516896,99.6612441556306,NA,NA
VNM,Viet Nam,East Asia & Pacific,Medio-alto,96.129997253418,0.603044839155161,100,74.736,1.895,17.3,15457.3499403547,5065.99091899299,514697215165.065,9.49453578200007,101598527,1.6,4.2,21.5,38.8299160351294,1.9,36.1,2022,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2022,2022,2022,2025,2020,2022,Alto,93,0.766,0.641,0.299,15.45771503,8.979999542,13032.63533,101.598527,514.697215165065,4.189135039069199,1.6255764320000003
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",Bajo,NA,2.8917915150724,86.3,69.439,4.499,38.1,NA,633.887202451545,21606160663.0318,2.54534547337627,41773878,33.3,57.7,88,37.0336664607078,37.4,36.7,NA,2025,2024,2024,2024,2024,NA,2018,2018,2025,2025,2014,2014,2014,2025,2022,2014,Bajo,184,0.47,0.325,0.838,7.494902735,5.484149933,1018.20058,41.773878,21.6061606630318,NA,13.910701374
ZMB,Zambia,Sub-Saharan Africa,Medio-bajo,71.7699966430664,2.77109662765952,53.6,66.528,4.036,48.4,3742.25646316492,1317.87771619597,28879806220.1264,2.00005028777659,21913874,71.7,81.4,94,45.9171510161461,47.9,51.5,2024,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2022,2022,2022,2025,2018,2022,Medio,154,0.595,0.361,0.524,11.02052892,7.397408543,3446.675821,21.913874,28.8798062201264,3.5731335471192827,15.712247658
ZWE,Zimbabwe,Sub-Saharan Africa,Medio-bajo,93.2300033569336,1.88435182354047,62,63.064,3.674,64.7,5529.23310016154,3021.43019873632,51215643905.5886,3.56147602516578,16950795,49.2,64.6,86.2,40.4951287431452,25.8,50.3,2019,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2019,2019,2019,2025,2019,2019,Medio,153,0.598,0.406,0.519,11.05745312,8.930847216,3511.463215,16.950795,51.2156439055886,3.7426648992134615,8.339791139999999
