iso3c,pais,region,grupo_ingreso,alfabetismo,crec_poblacion,electricidad,esperanza_vida,fecundidad,mortalidad_5,pib_pc_ppa,pib_pc_usd,pib_usd,pob_65mas,poblacion,pobreza_3usd,pobreza_4_2usd,pobreza_8_3usd,urbana,pobreza_mpi,gini,anio_alfabetismo,anio_crec_poblacion,anio_electricidad,anio_esperanza_vida,anio_fecundidad,anio_mortalidad_5,anio_pib_pc_ppa,anio_pib_pc_usd,anio_pib_usd,anio_pob_65mas,anio_poblacion,anio_pobreza_3usd,anio_pobreza_4_2usd,anio_pobreza_8_3usd,anio_urbana,anio_pobreza_mpi,anio_gini,categoria_idh,ranking_idh,idh,idh_ajustado_des,indice_genero_gii,anios_escol_esp,anios_escol_prom,ingreso_nacional_pc,poblacion_mill,pib_mmill_usd,log_pib_pc_ppa,pobres_3usd_mill
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,Medio-alto,NA,-0.690139370317183,100,71.382,1.761,11.3,19483.0127638994,12561.769166789,1255222222.22222,12.2502489379482,99924,NA,NA,NA,47.9810480381821,NA,NA,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,NA,NA,NA,2025,NA,NA,Alto,76,0.798,NA,NA,16.2530213,11.29534968,17246.63609,0.099924,1.25522222222222,4.289656115046037,NA
WSM,Samoa,East Asia & Pacific,Medio-alto,97.9899978637695,0.58857998761608,100,71.826,3.801,14.9,7963.42749052153,5872.78333308796,1287936621.64619,6.06890356646976,219306,4.5,11.5,49.4,17.5063874123422,6.3,38.7,2019,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2013,2013,2013,2025,2019,2013,Alto,122,0.708,0.609,0.416,12.4364,11.33298361,5952.016925,0.219306,1.2879366216461898,3.9011000300288154,0.00986877
SMR,San Marino,Europe & Central Asia,Alto,99.9100036621094,0.387745396648668,100,85.817,1.158,1.3,70951.7919690715,59871.3288101478,2027243193.5116,23.1484101571226,34109,NA,NA,NA,97.1870254171573,NA,NA,2022,2025,2024,2024,2024,2024,2023,2023,2023,2025,2025,NA,NA,NA,2025,NA,NA,Muy alto,29,0.915,NA,NA,14.59976717,11.35999966,64706.37558,0.034109,2.0272431935116,4.850963368538408,NA
STP,Sao Tome and Principe,Sub-Saharan Africa,Medio-bajo,87.4400024414062,1.98329290197673,77.7,69.905,3.596,13.6,5459.21311766335,4084.40062145233,981293586.906408,3.94457532444829,240254,13,30.5,70,69.1721865415984,11.7,40.7,2019,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2017,2017,2017,2025,2019,2017,Medio,141,0.637,0.478,0.492,12.8567099,5.987559175,5583.423335,0.240254,0.981293586906408,3.7371300486966117,0.031233019999999997
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",Alto,97.9300003051758,4.63120314543082,100,78.982,2.308,6,63051.0467257986,34536.6555456551,1276942933333.33,3.05678115419144,36973555,NA,NA,NA,84.6123121062185,NA,NA,2024,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,NA,NA,NA,2025,NA,NA,Muy alto,37,0.9,NA,0.228,16.94943047,11.60642778,50298.91363,36.973555,1276.94293333333,4.799692300797522,NA
SEN,Senegal,Sub-Saharan Africa,Medio-bajo,50.3600006103516,2.29738465638923,82.9,68.924,3.765,36.5,4668.54167658726,1954.71174194867,37006536238.3731,3.64616639269883,18931966,17.9,37.3,78.6,55.7672494455246,45.1,36.2,2023,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2021,2021,2021,2025,2023,2021,Bajo,169,0.53,0.34,0.49,9.142709732,2.934554012,4202.030729,18.931966,37.0065362383731,3.6691812401549933,3.3888219139999993
SRB,Serbia,Europe & Central Asia,Medio-alto,99.3399963378906,-0.56842544719633,100,75.9682926829268,1.64,5.4,27603.3916309287,15262.0464193413,99953324472.9042,23.050411277315,6549143,1.1,2.1,9,62.6379872799333,0.1,32.8,2022,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2023,2023,2023,2025,2019,2023,Muy alto,62,0.833,0.772,0.117,15.04216003,11.64171812,23114.80953,6.549143,99.9533244729042,4.440962447141359,0.07204057300000001
SYC,Seychelles,Sub-Saharan Africa,Alto,93.9499969482422,1.12749264749076,100,76.2951219512195,1.85,14,30638.7217194523,19449.3836346926,2387022853.48583,8.74539176146741,122730,0.7,1.4,8.4,45.4828390704609,0.9,32.1,2010,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2018,2018,2018,2025,2019,2018,Muy alto,54,0.848,0.755,NA,18.22489929,11.19995,29195.03792,0.12273,2.38702285348583,4.486270642103883,8.591100000000001e-4
SLE,Sierra Leone,Sub-Saharan Africa,Bajo,43.5800018310547,2.03619305233604,39.2,61.964,3.703,90.5,3176.23681292996,846.296172499617,7464157904.43509,3.28364812148674,8819794,41.5,65,91.5,45.9267781356681,59.2,35.7,2019,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2018,2018,2018,2025,2019,2018,Bajo,185,0.467,0.281,0.566,9.064124575,3.535297609,1713.727772,8.819794,7.46415790443509,3.5019128749624353,3.6602145100000003
SGP,Singapore,East Asia & Pacific,Alto,97.6500015258789,1.22350531679895,100,83.3463414634146,0.97,2.7,139592.612210761,98813.9788172877,603869516998.738,14.2110377720053,6111175,NA,NA,NA,100,NA,NA,2021,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,NA,NA,NA,2025,NA,NA,Muy alto,13,0.946,0.823,0.031,16.74227905,11.98999977,111239.2291,6.111175,603.869516998738,5.144862434325817,NA
