folioviv,foliohog,id_pobla,sexo_pe,edad_act,mes_nac,anio_nac,otra_resid,nivela_pe,gradoa_pe,asiste_pe,tra_pago,tra_negfam,tra_neg,tra_aprend,tra_volun,tra_relig,trab_remun,sosten_eco,tra_dome,lengua_ind,pueblo_ind,color_piel,razon_estu,satis_vida,satis_nina,satis_adol,satis_jov,satis_adul,c_alimenta,c_actfis,c_tics,c_redsoc,c_consbien,c_economia,c_consalco,c_lectura,anio_dejar,edad_dejar,matrimonio,hij_vivos,anticoncep,anio_rsex,edad_rsex,cvegeo,cve_ent,cve_mun,est_dis,upm,factor_per
100164103,1,01,2,59,04,1966,2,06,3,1,1,2,2,2,2,2,1,1,1,2,2,F,04,09,10,10,00,09,,,,,,,,,1986,20,1,2,1,1985,19,10005,10,005,0125,00025,566
100164104,1,02,2,28,04,1997,2,06,3,1,1,1,2,2,2,2,1,2,1,2,2,I,04,08,09,05,10,,,,1,,,,,,2017,20,1,2,1,2016,19,10005,10,005,0125,00025,1131
100164105,1,02,2,31,05,1994,2,09,3,1,1,2,2,2,2,2,1,2,1,2,2,J,12,09,09,08,08,09,,,1,,1,,,,2015,21,1,2,1,2012,18,10005,10,005,0125,00025,1131
100164801,1,04,2,36,06,1989,2,10,2,1,1,2,1,2,2,2,1,2,1,2,2,J,14,06,10,10,07,06,,,2,3,,2,,,,99,0,1,2,2010,21,10005,10,005,0126,00028,1701
100164802,1,01,1,58,10,1967,1,06,3,1,1,1,2,2,1,2,1,1,1,2,2,K,10,10,10,10,10,10,,,,,,,,,1985,18,1,2,2,1981,14,10005,10,005,0126,00028,567
100164804,1,03,2,33,11,1992,2,11,4,1,1,2,2,1,2,2,1,2,1,2,2,K,10,09,10,10,10,09,,,2,2,,,,,,99,0,0,2,2012,20,10005,10,005,0126,00028,1701
100164805,1,02,2,58,03,1967,2,06,3,1,1,1,1,2,1,2,1,2,1,2,2,H,14,10,10,10,10,10,,,,,,3,,,1993,26,1,2,2,1984,17,10005,10,005,0126,00028,1134
100168601,1,01,1,56,06,1969,1,11,4,1,1,2,2,2,2,1,1,1,1,2,2,F,13,10,02,05,08,09,,,1,,,,,,1995,26,1,0,2,1986,17,10005,10,005,0126,00029,550
100168602,1,02,2,61,12,1964,1,08,3,1,1,2,2,2,2,2,1,2,2,2,2,E,08,10,10,10,10,10,,,,,,,,,1982,18,1,3,1,1984,20,10005,10,005,0126,00029,1100
100168603,1,03,2,53,08,1972,1,11,4,1,1,2,2,2,2,2,1,2,2,2,2,H,13,09,09,08,09,09,,,,,,,,,,99,0,1,2,1993,21,10005,10,005,0126,00029,1100
100168604,1,01,1,64,12,1961,2,06,3,1,1,2,2,2,2,2,1,1,2,2,2,G,10,08,09,09,09,09,,,,,,,,,1979,18,1,5,2,1978,17,10005,10,005,0126,00029,1649
100168605,1,03,2,18,04,2007,2,09,3,1,2,2,2,2,2,2,2,2,2,2,2,K,00,10,10,10,,,,,1,1,,2,,,,99,0,0,2,,88,10005,10,005,0126,00029,1649
100170501,1,02,2,50,02,1975,2,07,2,1,1,1,1,2,2,2,1,2,1,2,2,J,08,10,08,08,08,10,2,2,,2,,,,,1992,17,1,3,1,1992,17,10005,10,005,0126,00030,2123
100170502,1,01,2,22,04,2003,1,06,3,1,1,1,1,2,2,2,1,2,1,2,2,D,07,10,07,08,10,,,,,,1,3,,,2018,15,1,1,1,2019,16,10005,10,005,0126,00030,1062
100170503,1,02,2,59,11,1966,1,06,3,1,1,1,2,2,2,2,1,2,1,2,2,I,12,08,08,08,08,08,,,,,,2,,,1990,24,1,2,2,1991,25,10005,10,005,0126,00030,1062
100170504,1,03,2,26,05,1999,2,11,5,1,1,2,2,1,2,2,1,2,1,2,2,G,10,06,10,04,02,,2,,2,1,,,,1,,99,0,0,2,2016,17,10005,10,005,0126,00030,1593
100170505,1,01,1,30,06,1995,1,11,3,1,1,1,1,1,1,2,1,1,1,2,2,H,13,09,10,08,09,09,,2,,,2,,2,,2013,18,0,0,1,2012,17,10005,10,005,0126,00030,531
100171801,1,03,2,33,10,1992,2,09,1,1,1,2,2,2,1,2,1,2,1,2,2,J,05,09,10,10,09,07,,,,,,,,,2013,21,1,2,2,2011,19,10005,10,005,0125,00026,1050
100171802,1,01,1,38,09,1987,2,11,5,1,1,2,1,1,2,2,1,1,2,2,2,I,10,08,09,09,10,08,1,1,1,2,2,,,,2014,27,1,2,1,2006,19,10005,10,005,0125,00026,700
100171804,1,06,1,22,02,2003,1,06,3,1,1,2,2,2,2,2,1,2,1,2,2,E,10,09,08,08,10,,,,,2,,,,1,2016,13,1,1,1,2017,14,10005,10,005,0125,00026,2100
100171805,1,02,2,35,06,1990,1,06,3,1,1,1,2,2,1,2,1,2,1,2,2,I,04,10,10,10,10,10,,,,,,,,,2006,16,1,2,1,2006,16,10005,10,005,0125,00026,700
100191901,1,01,1,54,05,1971,2,06,3,1,1,2,2,2,1,2,1,1,2,2,2,D,07,07,03,08,09,09,1,,,1,,,1,,1989,18,1,3,1,1988,17,10007,10,007,0130,00001,2966
100191904,1,01,1,33,06,1992,2,09,3,1,1,2,2,2,2,2,1,1,2,2,2,J,10,10,10,10,10,10,,,,,,,,,2020,28,1,2,2,2009,17,10007,10,007,0130,00001,1977
100191905,1,02,2,44,07,1981,1,11,4,1,1,2,2,1,1,1,1,2,1,2,2,I,12,10,10,10,10,10,2,2,1,1,1,1,,,2010,29,1,3,1,2005,24,10007,10,007,0130,00001,1977
100192401,1,01,2,46,10,1979,1,03,3,1,1,1,1,2,1,2,1,1,1,2,2,D,07,10,10,10,07,08,1,2,,,,2,,,2019,40,1,3,1,1999,20,10007,10,007,0128,00001,623
100192402,1,01,1,49,08,1976,2,00,0,2,1,2,2,2,1,2,1,1,1,2,2,F,07,10,10,10,10,10,,,,,,2,,,1991,15,0,0,2,1994,18,10007,10,007,0128,00001,311
100192405,1,01,2,28,04,1997,2,06,3,1,1,2,2,2,2,2,1,2,1,2,2,E,07,10,10,10,10,,,2,3,,,,,,2014,17,2,3,1,2013,16,10007,10,007,0128,00001,623
100193201,1,02,2,31,08,1994,1,11,2,1,1,2,2,2,2,2,1,1,1,2,2,G,08,10,10,10,10,10,,,2,2,2,2,,1,2013,19,1,3,2,2018,24,10007,10,007,0129,00001,1187
100193202,1,02,1,35,03,1990,1,11,4,1,1,1,1,1,2,2,1,2,1,2,2,A,04,09,10,10,08,09,,2,2,2,,2,2,,,99,0,0,2,2007,17,10007,10,007,0129,00001,1781
100193203,1,02,2,46,11,1979,1,03,6,1,1,1,1,2,2,2,1,2,2,2,2,H,01,08,00,00,08,08,,2,2,2,,2,,,1997,18,1,2,2,1996,17,10007,10,007,0129,00001,2374
100193204,1,02,1,23,09,2002,1,11,1,1,1,2,2,1,2,2,1,2,1,2,2,G,00,10,07,08,09,,,,2,,,,,,,99,0,0,2,2020,18,10007,10,007,0129,00001,1187
100193205,1,02,2,44,08,1981,1,09,2,1,1,1,1,2,2,2,1,1,1,2,2,J,07,09,10,05,08,09,2,2,2,2,2,2,,1,1997,16,1,3,1,1998,17,10007,10,007,0129,00001,1781
100193401,1,02,1,20,09,2005,2,06,3,1,1,2,2,2,2,2,1,1,2,2,2,J,10,10,10,10,10,,,,,,,,,,2023,18,2,0,2,2019,14,10007,10,007,0128,00002,1382
100193402,1,01,2,64,11,1961,1,06,3,1,1,2,2,2,2,2,1,1,2,2,2,H,07,10,10,08,08,10,,,,,,2,,,2016,55,1,2,2,1986,25,10007,10,007,0128,00002,691
100193403,1,01,1,45,07,1980,1,09,1,1,1,1,2,2,1,2,1,1,2,1,2,G,07,07,10,10,09,07,,2,2,2,2,2,,1,2004,24,2,3,2,2002,22,10007,10,007,0128,00002,1382
100193404,1,01,1,22,10,2003,2,06,3,1,1,2,2,2,2,2,1,1,2,2,2,I,04,08,10,10,08,,,,,,,,,,2022,19,1,0,1,2018,15,10007,10,007,0128,00002,1382
100193405,1,01,2,57,12,1968,2,06,3,1,1,2,2,2,2,2,1,1,1,2,2,G,08,07,10,10,07,07,,,,,,2,,,1992,24,1,3,2,1984,16,10007,10,007,0128,00002,691
100194001,1,01,1,57,08,1968,1,06,3,1,1,2,2,2,2,2,1,1,2,2,2,I,07,09,09,09,09,09,,,,,,,,,1985,17,1,3,1,1987,19,10007,10,007,0128,00003,1797
100194002,1,01,1,44,03,1981,1,07,3,1,1,2,2,2,2,2,1,1,2,2,2,I,04,09,09,10,10,10,,,,,,,,,2006,25,1,3,2,1995,14,10007,10,007,0128,00003,1797
100194003,1,04,2,18,06,2007,2,09,2,1,2,2,2,1,2,2,2,2,2,2,2,I,00,10,10,10,,,,,3,,,,,1,,99,0,0,2,,88,10007,10,007,0128,00003,2396
100194503,1,01,1,52,06,1973,1,11,5,1,1,2,2,2,2,2,1,1,2,2,2,I,10,09,10,10,10,09,,,2,2,3,,,,2000,27,1,2,2,1992,19,10007,10,007,0130,00002,2931
100194505,1,02,1,31,02,1994,2,12,2,1,1,2,2,1,2,2,1,2,1,2,2,H,04,10,09,09,10,10,,,,3,,,,,,99,0,0,2,2011,17,10007,10,007,0130,00002,1466
100195001,1,02,2,33,08,1992,1,06,3,1,1,2,2,2,2,2,1,1,1,2,2,H,07,08,10,10,07,05,,,,,,,,,2009,17,2,3,2,2007,15,10007,10,007,0128,00004,864
100195002,1,01,1,45,05,1980,1,06,3,1,1,2,2,2,2,2,1,1,2,2,2,I,04,09,08,10,10,10,,,,,,2,,,1999,19,2,4,2,1995,15,10007,10,007,0128,00004,576
100195003,1,02,2,46,08,1979,2,07,3,1,1,2,2,2,2,2,1,1,1,2,2,G,13,08,09,09,09,09,,,,,,1,,,1997,18,1,2,2,2000,21,10007,10,007,0128,00004,576
100195004,1,02,1,62,07,1963,1,03,6,1,1,2,2,2,2,2,1,1,2,2,2,G,04,08,06,07,07,08,,,,,,,,,1990,27,2,3,2,1979,16,10007,10,007,0128,00004,576
100195005,1,04,1,18,04,2007,1,06,3,1,1,2,2,2,2,2,1,2,2,2,2,I,04,10,10,10,,,,,,,,,,,,99,0,0,2,2022,15,10007,10,007,0128,00004,1153
100195601,1,01,1,34,03,1991,2,06,3,1,1,1,2,2,2,2,1,1,2,2,2,E,10,10,10,10,10,10,,,,,,,,,2023,32,1,2,1,2006,15,10007,10,007,0128,00005,1912
100195603,1,02,2,45,09,1980,2,12,1,1,1,1,1,1,1,2,1,2,1,2,2,J,14,08,10,10,08,09,1,2,2,2,2,2,,1,2002,22,2,2,1,2003,23,10007,10,007,0128,00005,1912
100195605,1,02,2,61,01,1964,1,06,&,1,1,2,2,2,2,2,1,2,1,2,2,I,08,09,10,08,09,09,,,,,,2,,,1979,15,2,3,2,1979,15,10007,10,007,0128,00005,956
100195902,1,01,1,60,09,1965,1,09,3,1,1,2,2,2,2,2,1,1,1,2,2,D,04,10,04,06,09,10,,,,,,,1,,2010,45,1,0,2,,99,10007,10,007,0128,00006,529
100195904,1,01,2,32,05,1993,1,11,4,1,1,2,2,1,2,2,1,2,1,2,2,I,04,08,05,05,05,08,1,1,1,,3,,,,2018,25,1,1,2,2012,19,10007,10,007,0128,00006,1058
100195905,1,01,1,41,01,1984,1,09,3,1,1,2,1,1,1,2,1,1,1,2,2,H,07,10,10,10,10,10,,1,1,,,2,,,2000,16,1,3,2,1995,11,10007,10,007,0128,00006,529
100197201,1,02,2,23,08,2002,2,09,3,1,1,2,1,2,2,2,1,2,1,2,2,J,12,08,10,10,08,,,,1,1,,,,,2021,19,1,0,2,2020,18,10007,10,007,0128,00007,1740
100197202,1,01,1,43,06,1982,1,03,6,1,1,2,2,2,2,2,1,1,2,2,2,H,07,10,07,09,08,08,,2,,,,,2,,2005,23,2,3,2,2005,23,10007,10,007,0128,00007,1740
100197204,1,02,2,30,05,1995,1,09,3,1,1,1,1,2,1,2,1,1,2,2,2,I,08,06,04,04,04,04,1,1,1,2,,,,,2012,17,1,1,1,2009,14,10007,10,007,0128,00007,1740
100197801,1,02,2,38,09,1987,2,12,2,1,1,2,2,2,2,2,1,2,2,2,2,I,06,08,06,07,08,08,,,,,,2,,,2010,23,1,1,2,2006,19,10007,10,007,0130,00003,1862
100197802,1,01,2,64,09,1961,1,08,5,1,1,1,2,2,2,2,1,1,1,2,2,H,10,08,09,09,09,08,,1,,,2,,,,1986,25,0,3,1,1985,24,10007,10,007,0130,00003,1862
100197804,1,01,1,37,05,1988,2,11,5,1,1,1,1,1,1,2,1,1,2,2,2,I,04,10,09,07,08,10,2,2,,,,2,2,3,2007,19,1,2,2,2004,16,10007,10,007,0130,00003,1862
100201701,1,02,1,37,08,1988,2,09,3,1,1,2,2,2,2,2,1,1,2,2,2,E,14,09,10,10,10,09,,,,,,,,,2010,22,1,2,2,2008,20,10007,10,007,0129,00002,1272
100201702,1,02,2,63,03,1962,2,06,3,1,1,2,2,2,2,2,1,2,2,2,2,I,07,08,08,07,08,08,,2,,,,,,,2017,55,1,2,2,1982,20,10007,10,007,0129,00002,1272
100201703,1,02,2,51,06,1974,2,00,0,2,2,2,2,2,2,2,2,2,1,2,2,F,11,10,10,10,10,10,,,,,,,,,,99,0,0,2,,88,10007,10,007,0129,00002,1272
100201704,1,01,1,59,07,1966,2,09,2,1,1,2,2,2,2,2,1,1,1,2,2,G,12,09,10,10,08,10,,,,,,,,,1984,18,1,2,2,1983,17,10007,10,007,0129,00002,1908
100201705,1,02,2,64,01,1961,1,09,3,1,1,2,2,2,2,2,1,1,2,2,2,K,12,10,05,05,00,07,,,,,,,,,1976,15,1,2,2,1979,18,10007,10,007,0129,00002,1272
100208401,1,02,2,37,06,1988,1,11,4,1,1,1,2,1,1,2,1,2,1,2,2,G,07,08,08,08,08,08,,,2,2,2,2,,,2013,25,1,1,1,2014,26,10007,10,007,0129,00003,2245
100208402,1,02,2,42,12,1983,2,06,3,1,1,2,2,2,2,2,1,2,1,2,2,E,07,08,08,07,08,08,,,2,2,2,2,,,2004,21,1,2,2,1999,16,10007,10,007,0129,00003,3367
100208404,1,01,1,64,03,1961,1,10,6,1,1,2,2,2,2,2,1,1,2,2,2,H,12,09,08,07,08,09,2,2,2,2,,,2,,1985,24,1,2,1,1979,18,10007,10,007,0129,00003,1122
100214101,1,01,1,52,06,1973,2,09,3,1,1,1,1,1,1,2,1,1,2,2,2,J,10,09,08,07,09,09,1,2,,,,2,,,1991,18,2,4,1,1987,14,10007,10,007,0129,00004,2318
100214102,1,01,1,42,09,1983,1,06,3,1,1,2,2,2,2,2,1,1,1,2,2,I,04,09,10,10,08,09,1,1,,,,1,1,,2013,30,1,3,1,2002,19,10007,10,007,0129,00004,1159
100214103,1,02,2,49,11,1976,2,09,2,1,1,2,2,2,2,2,1,2,1,2,2,F,07,10,09,07,08,10,,,,,,,,,1993,17,1,3,1,1992,16,10007,10,007,0129,00004,1159
100214104,1,03,1,24,03,2001,2,11,3,1,1,2,2,2,2,2,1,2,1,1,2,H,00,08,08,08,08,,,,1,1,,,,,,99,0,0,2,,88,10007,10,007,0129,00004,1738
100214105,1,01,2,63,10,1962,1,08,3,1,1,2,2,2,2,2,1,1,1,2,2,I,08,09,06,09,10,10,,,,,,,,,1985,23,2,3,2,1982,20,10007,10,007,0129,00004,1159
100214301,1,02,2,40,10,1985,2,09,3,1,1,2,2,2,2,2,1,1,1,2,2,I,04,09,10,10,10,07,,,2,,,2,,,2010,25,1,2,1,2006,21,10007,10,007,0129,00005,2187
100214303,1,04,1,21,01,2004,2,11,1,1,1,2,2,2,2,2,1,2,2,2,2,G,10,10,10,10,10,,,,,,,,,,,99,0,0,2,2020,16,10007,10,007,0129,00005,4373
100214304,1,01,1,63,04,1962,1,06,3,1,1,2,2,2,2,2,1,1,1,2,2,E,07,08,08,10,10,08,,,,,,,,,1997,35,2,1,2,1978,16,10007,10,007,0129,00005,1093
100214601,1,03,2,29,09,1996,2,11,4,1,1,2,1,1,1,2,1,2,2,2,2,I,04,10,10,08,10,,,2,2,1,2,2,2,,,99,0,0,2,2014,18,10007,10,007,0128,00008,1669
100214602,1,02,1,49,04,1976,1,00,0,2,1,2,2,2,2,2,1,1,2,2,2,I,07,10,10,10,10,10,,,,,,,,,,99,3,8,2,1995,19,10007,10,007,0128,00008,556
100214603,1,02,2,28,10,1997,2,11,4,1,1,1,1,1,2,2,1,2,1,2,2,J,12,09,09,09,09,,1,2,2,2,1,2,1,1,2018,21,1,2,2,2014,17,10007,10,007,0128,00008,1112
100214605,1,03,1,26,06,1999,2,11,2,1,1,1,1,2,2,2,1,2,2,2,2,J,10,08,10,10,08,,,2,,,,,,,,99,0,0,2,2017,18,10007,10,007,0128,00008,2781
100217901,1,02,1,41,02,1984,1,06,3,1,1,2,2,2,2,2,1,1,1,2,2,G,11,10,10,10,10,10,1,1,,,,,,,2021,37,1,1,2,2001,17,10007,10,007,0130,00004,741
100217902,1,02,1,19,09,2006,2,11,1,1,2,2,2,2,2,2,2,2,2,2,2,G,00,10,05,09,,,2,,2,,,,,1,,99,0,0,1,2021,15,10007,10,007,0130,00004,1483
100217904,1,01,1,35,05,1990,1,09,3,1,1,2,2,2,1,2,1,1,1,2,2,F,12,09,10,10,07,10,,2,2,2,2,,2,1,2020,30,1,2,1,2005,15,10007,10,007,0130,00004,1483
100217905,1,02,2,57,03,1968,1,09,3,1,1,2,2,2,2,2,1,2,1,2,2,G,10,10,10,10,10,10,,,,,,,2,,1988,20,1,2,1,1988,20,10007,10,007,0130,00004,1483
100220502,1,01,2,41,02,1984,2,09,3,1,1,2,1,1,1,2,1,1,1,2,2,F,10,09,04,05,06,09,2,2,1,1,1,1,,1,1999,15,0,1,1,2003,19,10007,10,007,0129,00006,617
100220503,1,01,1,60,12,1965,1,09,3,1,1,1,2,2,2,2,1,1,1,2,2,K,06,08,08,08,08,08,,,,,,,,,1995,30,0,0,2,1977,12,10007,10,007,0129,00006,1235
100220504,1,03,2,27,08,1998,1,11,4,1,1,2,2,1,1,2,1,2,1,2,2,F,14,07,05,06,07,,3,1,1,1,1,1,2,,,99,1,1,1,2019,21,10007,10,007,0129,00006,1235
100220505,1,02,2,41,12,1984,1,11,5,1,1,2,2,1,2,2,1,2,1,2,2,G,13,10,10,10,10,10,2,2,2,1,,2,,,2007,23,1,2,2,2001,17,10007,10,007,0129,00006,1235
100224001,1,03,1,25,09,2000,1,11,2,1,1,1,2,1,2,2,1,2,2,2,2,J,00,09,10,10,09,,,2,2,3,1,2,,1,,99,0,0,2,2018,18,10007,10,007,0129,00007,1231
100224002,1,01,1,40,07,1985,2,11,3,1,1,2,2,1,2,2,1,1,2,2,2,J,14,06,10,08,08,07,,2,,,2,,,,2018,33,0,0,2,2008,23,10007,10,007,0129,00007,616
100224005,1,03,2,31,10,1994,1,12,1,1,1,2,2,1,2,2,1,1,2,2,2,H,13,05,05,07,07,05,,2,,,,,,,,99,1,2,2,2011,17,10007,10,007,0129,00007,1231
100226701,1,02,2,46,06,1979,1,07,3,1,1,2,2,1,1,2,1,1,2,2,2,G,10,10,10,10,10,10,,,1,,,,,,,99,1,2,1,1997,18,10007,10,007,0128,00009,586
100226703,1,01,1,50,09,1975,2,11,6,1,1,1,2,2,2,2,1,1,1,2,2,K,10,05,07,07,09,09,,,1,,,,,,2000,25,1,3,2,2000,25,10007,10,007,0128,00009,586
100226704,1,01,1,32,08,1993,2,11,5,1,1,2,2,2,1,2,1,1,2,2,2,E,10,10,10,10,10,10,,2,,,,,,,2018,25,0,0,1,2011,18,10007,10,007,0128,00009,586
100226705,1,01,2,56,08,1969,1,11,4,1,1,1,1,1,1,2,1,1,1,2,2,J,13,10,10,08,09,10,,2,1,1,,,2,1,1987,18,0,2,2,1990,21,10007,10,007,0128,00009,1759
100226802,1,02,2,21,05,2004,2,11,3,1,1,2,2,2,2,2,1,2,1,2,2,J,14,09,08,09,09,,1,3,3,3,1,3,,1,,99,0,0,2,,88,10007,10,007,0129,00008,888
100226803,1,02,2,25,09,2000,2,06,3,1,1,1,1,2,1,2,1,1,1,2,2,E,07,10,02,10,10,,,,,,,2,1,,2018,18,1,1,1,2015,15,10007,10,007,0129,00008,888
100226805,1,02,2,26,07,1999,1,11,5,1,1,1,2,1,2,2,1,2,1,2,2,F,13,10,10,10,10,,,,,,,,,,2018,19,1,1,2,2017,18,10007,10,007,0129,00008,888
100227404,1,01,1,35,11,1990,2,09,3,1,1,2,1,2,2,2,1,1,2,2,2,F,12,10,10,10,10,10,,,,3,3,,,,2008,18,1,2,2,2006,16,10007,10,007,0129,00009,2478
100227405,1,01,2,63,06,1962,2,10,4,1,1,1,2,1,2,2,1,1,1,2,2,I,10,10,10,07,07,07,,,1,1,1,,,1,1990,28,1,0,2,1990,28,10007,10,007,0129,00009,826
100228702,1,01,1,54,08,1971,2,11,5,1,1,2,2,2,2,2,1,1,2,2,2,G,12,07,08,09,08,08,,,1,1,1,2,1,,1998,27,1,2,2,1996,25,10007,10,007,0129,00010,2481
100228703,1,01,2,37,03,1988,1,11,5,1,1,2,2,2,2,2,1,2,1,2,2,I,13,07,10,09,09,05,,,,,,,,,2008,20,1,2,1,2004,16,10007,10,007,0129,00010,827
100228704,1,01,1,38,07,1987,2,09,3,1,1,2,2,2,1,2,1,1,1,2,2,H,04,10,10,10,10,10,,,1,1,,,,,2013,26,1,3,1,2007,20,10007,10,007,0129,00010,1654
100228705,1,01,1,42,02,1983,2,09,3,1,1,2,2,2,2,2,1,1,2,2,2,I,04,10,10,10,10,10,,,,,,,,,2005,22,1,2,2,2002,19,10007,10,007,0129,00010,2481
100230003,1,03,1,27,03,1998,1,11,5,1,1,1,2,1,2,2,1,2,1,2,2,E,13,07,10,06,08,,2,2,1,,1,2,,,,99,0,0,1,2014,16,10007,10,007,0129,00011,1614
100232101,1,04,2,19,08,2006,1,09,3,1,1,2,2,2,1,2,1,2,1,2,2,F,03,10,10,10,,,,,,,,,,,,99,0,0,2,,88,10007,10,007,0128,00010,1215
100232102,1,01,1,22,03,2003,2,09,3,1,1,2,2,2,2,2,1,1,2,2,2,I,10,07,10,10,08,,,,,,,,,,2021,18,1,1,2,2019,16,10007,10,007,0128,00010,608
100232103,1,01,1,35,03,1990,2,06,3,1,1,2,2,2,1,2,1,1,2,2,2,J,07,05,10,05,03,05,,,,,,,2,,2013,23,1,2,2,2006,16,10007,10,007,0128,00010,608
100232104,1,01,1,54,08,1971,1,06,3,1,1,2,2,2,2,2,1,1,2,2,2,I,07,07,10,08,09,07,,,1,,,,,,1989,18,2,4,1,1989,18,10007,10,007,0128,00010,304
100232201,1,01,1,62,04,1963,1,03,6,1,1,1,2,2,2,2,1,1,2,2,2,K,07,06,01,07,07,07,,,,,,2,,,1993,30,1,1,2,1977,14,10007,10,007,0128,00011,1085
100232202,1,02,2,49,07,1976,2,06,3,1,1,2,2,2,2,2,1,2,2,2,2,F,04,10,10,10,10,10,,,,,,,,,,99,1,3,2,1992,16,10007,10,007,0128,00011,1628
100232203,1,01,2,54,09,1971,2,10,2,1,1,2,2,1,2,2,1,1,1,2,2,G,07,08,10,09,08,08,1,1,,,,2,,1,2003,32,1,2,2,2002,31,10007,10,007,0128,00011,1628
100232204,1,01,2,46,03,1979,1,06,3,1,1,2,2,2,2,2,1,1,1,2,2,G,08,09,03,05,00,10,2,,,,,,,,1995,16,1,5,1,1994,15,10007,10,007,0128,00011,1628
100232205,1,01,1,57,09,1968,1,06,3,1,1,2,2,2,2,2,1,1,2,2,2,F,05,08,01,02,05,09,,2,,,,,,,1993,25,1,3,1,1993,25,10007,10,007,0128,00011,1085
100233401,1,02,1,60,10,1965,1,09,1,1,1,1,1,2,2,2,1,1,1,2,2,D,12,08,10,08,10,09,,,,,,,1,,1993,28,2,3,2,1978,13,10007,10,007,0128,00012,731
100233402,1,01,2,38,09,1987,1,06,3,1,1,2,2,2,2,2,1,1,1,2,2,K,07,10,10,10,05,02,,,,,,,,,2005,18,1,3,1,2005,18,10007,10,007,0128,00012,731
100233404,1,04,1,48,01,1977,1,03,&,1,1,1,2,2,2,2,1,2,2,2,2,J,04,00,00,00,00,00,,,,,,,,,,99,0,1,2,,99,10007,10,007,0128,00012,2924
100233405,1,01,1,28,08,1997,2,06,3,1,1,2,2,2,2,2,1,1,2,2,2,I,07,08,10,10,08,,,,1,1,,2,,,2017,20,0,0,2,2015,18,10007,10,007,0128,00012,731
100233701,1,01,1,48,06,1977,1,06,3,1,1,2,2,2,2,2,1,1,1,2,2,H,11,08,03,06,02,10,1,1,,,1,1,1,1,,99,1,1,2,1994,17,10007,10,007,0128,00013,1142
100233702,1,04,2,22,12,2003,2,11,3,1,2,2,2,1,2,2,2,2,2,2,2,K,00,10,10,10,10,,,2,1,1,,,,,,99,0,0,2,,88,10007,10,007,0128,00013,2284
100233703,1,01,1,48,06,1977,1,09,3,1,1,2,2,2,2,2,1,1,2,2,2,H,12,10,08,09,10,10,,,,,,,,,1999,22,1,3,1,1997,20,10007,10,007,0128,00013,1713
100233704,1,03,2,27,11,1998,2,11,5,1,1,2,2,2,2,2,1,2,2,2,2,H,14,09,10,10,09,,,2,2,2,,2,,1,,99,0,0,1,2015,17,10007,10,007,0128,00013,1142
100233705,1,01,2,62,05,1963,1,03,2,1,1,2,2,2,2,2,1,1,1,2,2,H,10,10,00,00,10,10,,,,,,,,,1977,14,1,2,2,1983,20,10007,10,007,0128,00013,1142
100235601,1,01,2,60,12,1965,1,03,6,1,1,2,2,2,2,2,1,1,1,2,2,J,07,07,06,06,08,08,,,,,,,,,1980,15,1,2,1,1980,15,10007,10,007,0129,00012,1312
100235602,1,01,1,60,05,1965,1,09,1,1,1,2,1,1,2,2,1,1,2,2,2,E,04,10,10,10,10,10,2,3,,3,3,3,,,1985,20,1,4,1,1983,18,10007,10,007,0129,00012,1968
100235605,1,01,1,55,08,1970,1,03,6,1,1,2,2,2,2,2,1,1,2,2,2,J,07,08,09,08,07,08,,,,,,2,,,1989,19,1,2,2,1991,21,10007,10,007,0129,00012,1312
100236201,1,03,1,21,05,2004,2,09,1,1,1,1,1,2,2,2,1,2,1,2,2,F,04,10,10,10,10,,,,,,,2,2,,,99,0,0,1,2020,16,10007,10,007,0128,00014,2288
100236202,1,02,2,51,07,1974,1,03,6,1,1,2,2,2,2,2,1,2,1,2,2,B,07,10,10,10,10,10,,,,,,2,,,1990,16,1,3,2,1989,15,10007,10,007,0128,00014,1716
100236203,1,02,2,35,04,1990,2,06,3,1,1,2,2,2,2,2,1,1,1,2,2,H,09,09,06,09,10,10,,,1,1,2,2,,,2004,14,2,2,2,2004,14,10007,10,007,0128,00014,1144
100236204,1,01,1,47,04,1978,1,06,3,1,1,1,2,2,1,2,1,1,1,2,2,H,07,08,08,09,09,09,,,,,,,,,1996,18,1,2,2,1995,17,10007,10,007,0128,00014,572
100236205,1,03,2,28,12,1997,2,12,1,1,1,2,2,2,2,2,1,2,2,2,2,H,00,10,10,09,10,,1,,1,1,,2,,1,,99,0,0,2,2017,20,10007,10,007,0128,00014,2288
100239501,1,03,1,56,09,1969,1,12,2,1,1,1,1,1,1,2,1,1,2,2,2,H,06,09,09,08,09,09,,,1,1,,,,,,99,2,3,2,1992,23,10007,10,007,0129,00013,379
100239502,1,02,2,24,09,2001,1,11,2,1,1,2,1,2,2,2,1,2,2,2,2,G,10,08,10,08,08,,,,,,,,,,2012,11,2,2,2,2016,15,10007,10,007,0129,00013,758
100248802,1,01,2,63,10,1962,1,03,5,1,1,1,2,2,1,2,1,1,1,2,2,I,04,08,03,06,05,03,,,,,,,3,,1986,24,2,3,1,1979,17,10007,10,007,0128,00015,549
100248803,1,02,2,47,06,1978,1,09,3,1,1,2,2,2,2,2,1,2,1,2,2,D,07,10,09,09,08,09,,,,,,3,,,2014,36,1,0,2,2014,36,10007,10,007,0128,00015,1097
