folioviv,foliohog,id_pobla,sexo_pe,edad_act,mes_nac,anio_nac,otra_resid,nivela_pe,gradoa_pe,asiste_pe,tra_pago,tra_negfam,tra_neg,tra_aprend,tra_volun,tra_relig,trab_remun,sosten_eco,tra_dome,lengua_ind,pueblo_ind,color_piel,razon_estu,satis_vida,satis_nina,satis_adol,satis_jov,satis_adul,c_alimenta,c_actfis,c_tics,c_redsoc,c_consbien,c_economia,c_consalco,c_lectura,anio_dejar,edad_dejar,matrimonio,hij_vivos,anticoncep,anio_rsex,edad_rsex,cvegeo,cve_ent,cve_mun,est_dis,upm,factor_per
010022103,1,01,1,52,11,1973,2,06,3,1,1,2,2,2,2,2,1,1,1,2,2,D,07,09,10,07,08,09,2,2,,,1,2,2,,1987,14,1,2,2,1986,13,01001,01,001,0002,00004,2119
010022104,1,01,2,43,12,1982,1,09,3,1,1,2,2,2,2,2,1,1,1,2,2,J,07,08,10,07,08,09,2,2,,,,2,,,2002,20,1,2,1,2001,19,01001,01,001,0002,00004,1059
010025401,1,01,1,63,08,1962,2,06,3,1,1,2,2,2,2,2,1,1,2,2,2,I,07,10,10,10,10,10,,,,,,,,,1994,32,1,2,2,1994,32,01001,01,001,0002,00005,1752
010025402,1,01,1,52,08,1973,1,06,3,1,1,2,2,2,2,2,1,1,2,2,2,K,07,10,10,10,10,10,2,2,,,,,,,1994,21,1,6,2,1990,17,01001,01,001,0002,00005,2191
010025403,1,01,2,55,01,1970,2,09,3,1,1,2,2,2,2,2,1,1,1,2,2,I,07,10,08,10,09,09,3,3,,,,,,,1992,22,0,3,2,1992,22,01001,01,001,0002,00005,1314
010025404,1,03,1,26,01,1999,1,11,5,1,1,2,2,2,2,2,1,2,2,2,2,K,13,10,08,09,10,,,,,,,,,,,99,0,0,2,,88,01001,01,001,0002,00005,2191
010025405,1,03,2,21,11,2004,2,06,3,1,2,2,2,2,2,2,2,2,1,2,2,J,07,10,10,10,10,,,,,,,,,,,99,0,1,2,2022,18,01001,01,001,0002,00005,1314
010025901,1,01,1,49,05,1976,1,06,3,1,1,2,2,2,2,2,1,1,2,2,2,G,07,10,08,08,08,09,,,,,,,,,1991,15,1,3,2,1995,19,01001,01,001,0002,00006,1707
010025902,1,03,2,26,10,1999,2,09,3,1,1,1,2,2,1,2,1,2,1,2,2,K,08,10,10,10,10,,2,2,,,,,,,2017,18,1,3,2,2015,16,01001,01,001,0002,00006,853
010025903,1,03,2,24,01,2001,2,06,3,1,1,2,2,2,2,2,1,2,1,2,2,H,04,10,10,10,10,,,,,,,,,,,99,1,2,2,2018,17,01001,01,001,0002,00006,1280
010025904,1,01,1,54,06,1971,1,06,3,1,1,2,2,2,2,2,1,1,2,2,2,G,07,07,10,10,08,08,,,,,,,,,1985,14,1,2,2,1995,24,01001,01,001,0002,00006,1707
010025905,1,02,2,51,11,1974,1,06,3,1,1,2,2,2,2,2,1,2,2,2,2,H,07,08,08,08,08,08,,,,,,,,,1996,22,1,2,2,1999,25,01001,01,001,0002,00006,1707
010027502,1,01,1,38,11,1987,2,09,1,1,1,1,1,2,1,2,1,1,1,2,2,K,07,10,00,03,08,10,2,2,1,1,2,2,,,2003,16,1,3,1,2001,14,01001,01,001,0001,00002,2232
010027503,1,01,2,44,07,1981,1,09,1,1,1,2,2,2,1,2,1,1,1,2,2,F,07,10,08,09,09,09,,,,,,,,,2001,20,2,4,2,2003,22,01001,01,001,0001,00002,744
010027505,1,02,2,33,11,1992,2,09,2,1,1,2,2,2,2,2,1,2,1,2,2,F,07,07,10,08,09,08,2,2,2,2,,2,,,2012,20,1,2,2,2007,15,01001,01,001,0001,00002,1488
010029601,1,01,1,43,08,1982,1,06,3,1,1,2,2,2,1,2,1,1,1,2,2,D,07,10,09,10,09,10,,,,,,,,,2019,37,3,3,2,1998,16,01001,01,001,0001,00003,819
010029602,1,01,2,45,07,1980,1,11,3,1,1,2,1,1,1,2,1,1,1,2,2,H,10,09,10,10,10,09,,,1,1,1,3,1,,2002,22,1,0,2,1998,18,01001,01,001,0001,00003,410
010029603,1,02,1,22,12,2003,2,06,3,1,1,2,2,2,2,2,1,2,2,2,2,F,04,07,10,10,08,,,,,2,,,,,,99,0,0,2,2020,17,01001,01,001,0001,00003,819
010029604,1,01,2,38,03,1987,2,06,3,1,1,2,1,2,2,2,1,2,2,2,2,H,07,10,08,10,10,10,,,,,,,,,2002,15,2,1,2,2002,15,01001,01,001,0001,00003,410
010029605,1,01,2,38,09,1987,1,06,3,1,1,1,2,1,2,2,1,1,1,2,2,H,07,06,05,05,05,06,,,,2,,2,,,2006,19,1,5,2,2002,15,01001,01,001,0001,00003,410
010030201,1,01,2,57,11,1968,1,06,3,1,1,2,2,2,2,2,1,1,1,2,2,G,07,08,07,07,08,08,2,2,,,,2,,,2001,33,1,1,2,2000,32,01001,01,001,0001,00004,881
010030202,1,01,2,39,01,1986,2,06,3,1,1,2,2,2,2,2,1,1,1,2,2,G,04,08,09,09,08,07,2,2,1,1,,2,,,2007,21,1,1,1,2006,20,01001,01,001,0001,00004,440
010030203,1,03,2,19,05,2006,2,09,&,1,1,1,2,2,2,2,1,2,1,2,2,G,04,10,08,06,,,2,2,2,3,,,,,,99,2,0,1,2019,13,01001,01,001,0001,00004,1321
010030204,1,01,2,37,02,1988,1,11,5,1,1,2,2,1,2,2,1,1,1,2,2,I,13,08,07,07,09,08,,2,1,1,,2,,1,2016,28,1,1,2,2009,21,01001,01,001,0001,00004,440
010030205,1,02,2,48,08,1977,2,03,6,1,1,2,2,2,2,2,1,2,1,2,2,F,05,08,10,10,08,08,2,2,,2,,1,,,1998,21,1,1,2,1997,20,01001,01,001,0001,00004,881
010031401,1,03,1,31,09,1994,2,11,4,1,1,1,2,1,1,2,1,2,1,2,2,H,13,07,10,08,07,07,,2,,,,2,,,,99,1,0,2,2007,13,01001,01,001,0001,00005,1361
010031404,1,01,2,42,09,1983,1,03,6,1,2,2,2,2,2,2,2,2,1,2,2,J,07,10,07,08,09,08,,,,,,,,,1999,16,1,5,2,1999,16,01001,01,001,0001,00005,1361
010031405,1,06,1,28,11,1997,2,06,3,1,1,1,2,2,2,2,1,2,2,2,2,H,07,09,06,09,09,,,,,,,,,,2010,13,1,0,2,2013,16,01001,01,001,0001,00005,3175
010031501,1,01,1,42,04,1983,1,09,3,1,1,1,2,1,1,2,1,1,2,2,2,H,07,10,10,10,10,10,,,,,,,,,2005,22,1,1,2,2005,22,01001,01,001,0001,00006,931
