folioviv,tipo_viv,mat_pared,mat_techos,mat_pisos,cuart_dorm,agua_ent,ab_agua,agua_noe,dotac_agua,excusado,drenaje,disp_elect,focos,focos_ahor,tenencia,num_micro,anio_micro,num_refri,anio_refri,num_lropa,anio_lropa,num_ltras,anio_ltras,num_airea,anio_airea,num_calef,anio_calef,num_venti,anio_venti,num_tv,anio_tv,num_pc,anio_pc,num_lap,anio_lap,num_table,anio_table,num_imp,anio_imp,num_cel,anio_cel,num_tfijo,anio_tfijo,num_inter,anio_inter,num_tvpag,anio_tvpag,num_pdigi,anio_pdigi,num_dvd,anio_dvd,num_juego,anio_juego,num_auto,anio_auto,num_van,anio_van,residentes,tot_hog,cvegeo,cve_ent,cve_mun,tam_loc,est_socio,est_dis,upm,factor_viv
010019101,1,8,10,3,2,1,1,,3,1,1,1,11,9,3,1,15,1,23,1,10,0,,0,,0,,1,23,2,21,0,,0,,0,,0,,3,25,0,,0,,0,,1,25,0,,0,,1,19,0,,3,1,01001,01,001,1,2,0001,00001,444
010019102,1,8,10,3,2,1,1,,1,1,1,1,7,7,1,0,,1,23,1,23,0,,0,,0,,0,,1,19,0,,0,,0,,0,,3,24,0,,1,19,1,19,0,,0,,0,,0,,0,,4,1,01001,01,001,1,2,0001,00001,444
010019103,1,8,10,3,2,1,1,,1,1,1,1,5,5,1,0,,1,16,0,,0,,0,,0,,0,,1,16,0,,0,,0,,0,,3,24,0,,1,25,1,25,0,,0,,0,,0,,0,,4,1,01001,01,001,1,2,0001,00001,444
010019104,1,8,10,3,1,1,1,,1,1,1,1,6,6,4,1,15,1,20,1,19,0,,0,,0,,2,22,1,18,0,,0,,0,,0,,2,25,1,00,1,00,0,,0,,0,,0,,0,,0,,2,1,01001,01,001,1,2,0001,00001,444
010019105,1,8,10,3,2,1,1,,1,1,1,1,7,7,3,0,,1,20,1,22,0,,0,,0,,1,25,2,23,1,23,0,,0,,0,,4,23,0,,1,25,0,,0,,0,,1,24,0,,0,,4,1,01001,01,001,1,2,0001,00001,444
010022101,1,8,10,3,2,1,1,,2,1,1,1,7,7,4,1,15,1,10,1,10,0,,0,,0,,2,20,1,20,0,,0,,1,12,0,,1,18,0,,1,20,1,20,-1,19,0,,0,,1,19,0,,1,1,01001,01,001,1,3,0002,00004,520
010022102,1,8,10,3,3,1,1,,1,1,1,1,9,9,4,0,,1,16,1,20,0,,0,,0,,0,,1,21,0,,0,,0,,0,,5,24,0,,1,23,1,19,-1,24,0,,0,,0,,0,,10,1,01001,01,001,1,3,0002,00004,520
010022103,1,8,10,3,3,1,1,,1,1,1,1,14,14,4,1,21,1,17,1,21,0,,0,,0,,3,22,4,23,0,,0,,0,,0,,3,23,0,,1,22,1,22,-1,23,0,,0,,0,,0,,4,1,01001,01,001,1,3,0002,00004,520
010022104,1,8,10,3,3,1,1,,3,1,1,1,13,13,4,1,19,1,18,1,23,0,,0,,0,,2,22,3,22,0,,0,,0,,0,,3,24,0,,1,19,0,,-1,23,0,,0,,0,,0,,3,1,01001,01,001,1,3,0002,00004,520
010025401,1,8,10,2,3,1,1,,2,1,1,1,8,4,4,0,,1,13,1,14,0,,0,,0,,0,,1,22,0,,0,,0,,0,,4,20,0,,0,,0,,0,,0,,0,,0,,0,,4,1,01001,01,001,1,3,0002,00005,430
