folioviv,foliohog,id_pobla,parentesco,sexo,edad,afrod,hablaesp,hablaind,lenguaind,hablaing,hablaotro,etnia,asiste_esc,no_asisb,nivelaprob,gradoaprob,alfabetism,edo_conyug,inf_selec,cvegeo,cve_ent,cve_mun,est_dis,upm,factor_hog
010014303,1,02,2,2,50,2,1,2,,2,2,2,2,,08,5,,8,1,01001,01,001,0002,00002,560
010014303,1,03,3,2,16,2,1,2,,2,2,2,1,,06,1,,9,2,01001,01,001,0002,00002,560
010014303,1,04,3,2,15,2,1,2,,2,2,2,1,,06,1,,9,2,01001,01,001,0002,00002,560
010014304,1,01,1,2,68,2,1,2,,2,2,2,2,,03,3,,5,2,01001,01,001,0002,00002,560
010014304,1,02,3,1,41,2,1,2,,2,2,2,2,,06,3,,6,1,01001,01,001,0002,00002,560
010014304,1,03,5,2,31,2,1,2,,2,2,2,2,,02,6,1,6,2,01001,01,001,0002,00002,560
010014304,1,04,4,1,14,2,1,2,,2,2,2,1,,03,2,,9,2,01001,01,001,0002,00002,560
010014304,1,05,4,2,10,2,1,2,,2,2,2,1,,02,3,1,,2,01001,01,001,0002,00002,560
010014304,1,06,4,2,5,2,1,2,,2,2,2,1,,01,1,2,,2,01001,01,001,0002,00002,560
010014304,1,07,4,1,2,2,,,,,,,,,,,,,2,01001,01,001,0002,00002,560
010014305,1,01,1,1,65,2,1,2,,2,2,2,2,,02,2,1,8,2,01001,01,001,0002,00002,560
010014305,1,02,2,2,63,2,1,2,,2,2,2,2,,02,2,1,8,1,01001,01,001,0002,00002,560
010014305,1,03,3,2,26,2,1,2,,2,2,2,2,09,08,4,,9,2,01001,01,001,0002,00002,560
010014602,1,01,1,1,61,2,1,2,,2,2,2,2,,03,3,,4,2,01001,01,001,0002,00003,374
010014602,1,02,3,2,31,2,1,2,,2,2,2,2,,08,4,,9,1,01001,01,001,0002,00003,374
010014603,1,01,1,1,56,2,1,2,,2,2,2,2,,06,3,,8,1,01001,01,001,0002,00003,374
010014603,1,02,2,2,56,2,1,2,,2,2,2,2,,02,6,1,8,2,01001,01,001,0002,00003,374
010014604,1,01,1,1,63,2,1,2,,2,2,2,2,,06,3,,8,2,01001,01,001,0002,00003,374
010014604,1,02,2,2,62,2,1,2,,2,2,2,2,,06,3,,8,2,01001,01,001,0002,00003,374
010014604,1,03,3,1,32,2,2,2,,2,2,2,2,,06,3,,9,1,01001,01,001,0002,00003,374
010019101,1,01,1,1,56,2,1,2,,2,2,2,2,,02,6,1,8,2,01001,01,001,0001,00001,448
010019101,1,02,2,2,51,2,1,2,,2,2,2,2,,03,3,,8,1,01001,01,001,0001,00001,448
010019101,1,03,3,2,22,2,1,2,,1,2,2,2,05,06,3,,9,2,01001,01,001,0001,00001,448
010019102,1,01,1,1,31,2,1,2,,2,2,2,2,,02,6,1,6,1,01001,01,001,0001,00001,448
010019102,1,02,2,2,31,2,1,2,,2,2,2,2,,03,3,,6,2,01001,01,001,0001,00001,448
010019102,1,03,3,2,12,2,1,2,,2,2,2,1,,02,6,1,9,2,01001,01,001,0001,00001,448
010019102,1,04,3,1,8,2,1,2,,2,2,2,1,,02,3,1,,2,01001,01,001,0001,00001,448
010019103,1,01,1,2,33,2,1,2,,2,2,2,2,,03,3,,9,1,01001,01,001,0001,00001,448
010019103,1,02,3,1,15,2,1,2,,2,2,2,2,04,03,1,,9,2,01001,01,001,0001,00001,448
010019103,1,03,3,1,11,2,1,2,,2,2,2,1,,02,5,1,,2,01001,01,001,0001,00001,448
010019103,1,04,3,2,7,2,1,2,,2,2,2,1,,02,1,1,,2,01001,01,001,0001,00001,448
010019104,1,01,1,1,59,2,1,2,,2,2,2,2,,03,3,,8,1,01001,01,001,0001,00001,448
010019104,1,02,2,2,55,2,1,2,,2,2,2,2,,06,3,,8,2,01001,01,001,0001,00001,448
010019105,1,01,1,2,37,2,1,2,,1,2,2,2,,03,3,,4,1,01001,01,001,0001,00001,448
010019105,1,02,3,2,15,2,1,2,,2,2,2,1,,03,3,,9,2,01001,01,001,0001,00001,448
