folioviv,foliohog,id_pobla,geo_p,anio_nac_p,nivel_p,grado_p,sinco_p,lengua_p,padre_muer,geo_m,anio_nac_m,nivel_m,grado_m,sinco_m,lengua_m,madre_muer,hijos_m,hijos_nac,sosten,calle_pav,agua_entub,techo_loza,banio_int,licuadora,microondas,tostador,estufa,refrigera,lavadora,radio,tocadiscos,television,video_dvd,compu,tv_paga,videojuego,tel_fijo,tel_movil,internet,camara,enciclope,automovil,otra_viv,local_com,tierras,tractor,anim_trab,ganado,terrenos,cuenta_ban,tc_banc,tc_depar,serv_domes,cvegeo,cve_ent,cve_mun,est_dis,upm,factor_per
080414007,1,01,70008019,9999,09,3,7121,2,2004,70008019,9999,09,3,1003,2,2001,3,1,02,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,,,1,2,1,2,2,2,2,2,2,2,9,2,2,2,08027,08,027,0116,00001,1727
080414008,1,03,70008009,1974,07,3,9999,2,2010,70008008,1972,14,4,2332,2,,3,2,01,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,1,1,2,2,08027,08,027,0116,00001,3454
080414010,1,01,70008027,1959,00,0,6111,2,,70008027,1962,06,6,1003,2,,1,0,02,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,1,2,2,2,2,2,08027,08,027,0116,00001,3454
080414012,1,01,70008027,1955,09,3,9331,2,1998,70008027,1950,06,6,1003,2,2024,3,2,02,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,2,2,1,2,2,1,1,2,2,2,2,08027,08,027,0116,00001,3454
080414013,1,02,70008008,9999,00,0,6112,2,2022,70008008,1960,06,6,1003,2,,6,2,02,2,1,2,1,1,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,08027,08,027,0116,00001,3454
080414014,1,02,70008027,1966,09,3,8341,2,,70008027,1968,06,6,1003,2,,3,0,02,2,1,2,1,1,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,08027,08,027,0116,00001,5180
080414015,1,03,70008027,1973,14,4,2322,2,,70008029,1978,12,3,1003,2,,3,0,02,2,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,2,2,2,1,1,2,2,1,2,2,2,1,1,1,1,2,08027,08,027,0116,00001,6907
080414016,1,01,70008046,1957,06,6,6131,2,,70008008,1959,06,6,1003,2,,4,2,02,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1,1,2,2,2,2,08027,08,027,0116,00001,3454
080414017,1,01,,,,,,,1967,70008027,1943,06,3,5111,1,,4,2,01,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,,,2,2,2,2,2,1,2,1,1,2,2,2,2,2,08027,08,027,0116,00001,6907
080414018,1,01,70008027,1933,00,0,6129,2,2001,70008027,1937,00,0,1003,2,2024,11,10,02,2,1,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,2,,,1,2,1,2,2,1,2,1,1,1,9,2,2,2,08027,08,027,0116,00001,3454
080414019,1,02,,,,,,,1979,70008027,1956,14,4,2332,1,,5,0,01,2,1,2,1,1,2,2,1,1,2,1,2,1,2,2,2,2,2,,,2,1,2,2,2,2,2,2,2,2,2,2,2,2,08027,08,027,0116,00001,5180
