"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"AFG","Afghanistan",0.243882421368369,0.243881397976556,0.244789007024173,0.245696616071789,0.245629669776748,0.245563171032363,0.25147632845815,0.257396958951971,0.26072023903422,0.273858435738092,0.273813923868294,0.267843967410054,0.258949689865488,0.247493790134132,0.24876321419345,0.247012193127962,0.23452839268993,0.235409050331703,0.231720840103344,0.244201268670917,0.244558092810363,0.238158307852406,0.229077175285957,0.222022771630573,0.228263998266566,0.226497401812941,0.229096109082749,0.273877817918126,0.273455754202796,0.272113924696938
"ALB","Albania",0.334469979610876,0.335026218556213,0.331617450064512,0.327750053213624,0.322482183578864,0.316930104538941,0.325673850733594,0.334831002935011,0.338074170701962,0.347686754682849,0.342323159520912,0.349127830418618,0.355438183733976,0.361989958793531,0.380744838353126,0.392029675083781,0.389263650337949,0.386913788678,0.390359865460829,0.408234621647991,0.416189271047263,0.41406221424639,0.415185767588856,0.418301573967831,0.411679916186614,0.40945584867269,0.414892325672748,0.45144323750335,0.454448838547886,0.467979768681771
"DZA","Algeria",0.292905059136285,0.293918375243707,0.288105812576021,0.282606038636676,0.286333780728753,0.290211203469129,0.296388449569183,0.302821660621535,0.308104182979239,0.3160763150323,0.326029966847557,0.325136015918547,0.321730837203706,0.318561669088876,0.309765976471641,0.308922876452212,0.30004490693144,0.299111951338054,0.303854996197801,0.294268999067765,0.302333945068512,0.303316917868118,0.326808311994848,0.330372212384139,0.325834707729108,0.328940626654307,0.333839820490006,0.369505429953285,0.375294647880398,0.378126927438512
"AND","Andorra",0.445442854661236,0.44613267084885,0.447519205943891,0.45013108980021,0.451113029065239,0.452672557062892,0.455699191194368,0.458375525020037,0.459980238850581,0.438829292693384,0.479975219881595,0.489743240744019,0.509462463172292,0.510850610669421,0.516693075391196,0.520504886705294,0.531022412495413,0.533075530549554,0.536760438356013,0.520932620327096,0.52515248533258,0.528962897809701,0.536266876086999,0.53843105332426,0.562929174700513,0.561087438221965,0.562060156562722,0.57696380365487,0.605181239313114,0.611141214267337
"AGO","Angola",0.169028739739221,0.169027516582366,0.167461733036004,0.165891829780663,0.165857218134566,0.165880249994098,0.174340578827046,0.182819172226711,0.191142220269338,0.203786587450959,0.206337594266998,0.208419083816516,0.20671991001784,0.209553943857141,0.213660353501859,0.216240691433006,0.211289066579262,0.21816011699894,0.216697541847312,0.213968348637904,0.209029557094137,0.21517290018703,0.219607225079245,0.233479856226127,0.240374885636694,0.242333159625459,0.245599464860488,0.25549211537898,0.25776962271038,0.256846722549453
"ATG","Antigua and Barbuda",0.498109414985143,0.498614385745377,0.499413924727341,0.500205025878055,0.501242973125003,0.502546655564053,0.503160269505808,0.505114639795425,0.506992488677002,0.498911026880026,0.502230803820064,0.510147956536701,0.507611528287622,0.505322817345305,0.506280506497582,0.514746360180506,0.508673595130089,0.512685368709471,0.500882639239542,0.468725460483133,0.470930840223451,0.46390440182393,0.442013225769285,0.454477952498608,0.454910804506989,0.452500831376988,0.45120095403831,0.437386435763936,0.44044332831014,0.440739980028339
"ARG","Argentina",0.38577420853038,0.388752765283208,0.38348859324191,0.379775285521287,0.378686815686327,0.378559243482315,0.354705345766118,0.339023080418949,0.349327952808224,0.360518303742196,0.380529341443251,0.380798940817653,0.386903900129326,0.375364010799659,0.370468135156979,0.374824252309775,0.378714596002521,0.36938336646418,0.350768497797175,0.335807498110307,0.342510314382968,0.3708086891919,0.375854425933075,0.376661750578702,0.374682747796565,0.380454912183629,0.376842203331014,0.411662743189324,0.412981187832491,0.415404726658145
"ARM","Armenia",0.388181942814393,0.383927105324568,0.383670178694581,0.399579015318356,0.401086695226392,0.398848221358667,0.410255395510183,0.430865975759414,0.438282572714664,0.438384161138303,0.446036812438723,0.446709598485498,0.448358024127529,0.45910868516882,0.44729275962468,0.456961056154737,0.456542992603653,0.461666211332993,0.471325652317001,0.472266828168794,0.483794822255619,0.489418319164826,0.488485611563978,0.504452069724553,0.515274524027953,0.508290617025092,0.503482114235915,0.458956922690969,0.458683441117899,0.456887905654006
"AUS","Australia",0.698470756875993,0.698930891742767,0.702198510136955,0.708746931946455,0.714029608747302,0.720199925295162,0.723068544451605,0.723744023735295,0.727145245782867,0.725946124559408,0.727459587523733,0.734232667118051,0.736795236494675,0.739582804688247,0.725500413210505,0.723316703951027,0.72325184354955,0.725952266255521,0.726033813774379,0.708905315361678,0.706232290116801,0.713528025948669,0.698662922991575,0.702945462827534,0.701237773689662,0.68883126703601,0.702053938657717,0.658074469272981,0.659911389544482,0.658489464130322
"AUT","Austria",0.699929027496638,0.704624711339245,0.705483430570563,0.70485122851023,0.709116216229934,0.714139036519525,0.719913702531276,0.723838558140736,0.72296334745445,0.722288491525729,0.727440198211148,0.729518780733004,0.733471197258289,0.726671911399587,0.711958260785437,0.707630211675475,0.705899978884642,0.700658978661666,0.707444699594006,0.706985252993306,0.706269818305926,0.703896038163301,0.7058902243388,0.706412594431662,0.70294427263107,0.699810660901553,0.696883562535411,0.682588853046565,0.682481359396006,0.678724107223777
"AZE","Azerbaijan",0.306488948846978,0.304099234148781,0.310382998039577,0.316681554336664,0.318209821195652,0.31964845137632,0.323714933413381,0.362718912634992,0.362724681515046,0.371200653560642,0.375009977930247,0.36304257317593,0.360046732446581,0.351771595441617,0.388084610798994,0.388934960295979,0.392966948000367,0.38528028153536,0.397739456579928,0.412858295027637,0.425659042356009,0.429150254364846,0.417564005967799,0.418618052591831,0.440937995291598,0.434890874310571,0.438633151765085,0.41832496088541,0.422149432984986,0.430258329330067
